ACT Code,County,County (copy),District,HighSchool,Year ,CGR %
431155,ANDERSON,ANDERSON,ANDERSON COUNTY,ANDERSON COUNTY HIGH SCHOOL,2017,0.696721311
431155,ANDERSON,ANDERSON,ANDERSON COUNTY,ANDERSON COUNTY HIGH SCHOOL,2018,0.662393162
431155,ANDERSON,ANDERSON,ANDERSON COUNTY,ANDERSON COUNTY HIGH SCHOOL,2019,0.657894737
431155,ANDERSON,ANDERSON,ANDERSON COUNTY,ANDERSON COUNTY HIGH SCHOOL,2020,0.570833333
431155,ANDERSON,ANDERSON,ANDERSON COUNTY,ANDERSON COUNTY HIGH SCHOOL,2021,0.526717557
430390,ANDERSON,ANDERSON,ANDERSON COUNTY,CLINTON HIGH SCHOOL,2017,0.547413793
430390,ANDERSON,ANDERSON,ANDERSON COUNTY,CLINTON HIGH SCHOOL,2018,0.596363636
430390,ANDERSON,ANDERSON,ANDERSON COUNTY,CLINTON HIGH SCHOOL,2019,0.540856031
430390,ANDERSON,ANDERSON,ANDERSON COUNTY,CLINTON HIGH SCHOOL,2020,0.533057851
430390,ANDERSON,ANDERSON,ANDERSON COUNTY,CLINTON HIGH SCHOOL,2021,0.463829787
431800,ANDERSON,ANDERSON,OAK RIDGE,OAK RIDGE HIGH SCHOOL,2017,0.787878788
431800,ANDERSON,ANDERSON,OAK RIDGE,OAK RIDGE HIGH SCHOOL,2018,0.782608696
431800,ANDERSON,ANDERSON,OAK RIDGE,OAK RIDGE HIGH SCHOOL,2019,0.776978417
431800,ANDERSON,ANDERSON,OAK RIDGE,OAK RIDGE HIGH SCHOOL,2020,0.731707317
431800,ANDERSON,ANDERSON,OAK RIDGE,OAK RIDGE HIGH SCHOOL,2021,0.674351585
432375,BEDFORD,BEDFORD,BEDFORD COUNTY,CASCADE HIGH SCHOOL,2017,0.7
432375,BEDFORD,BEDFORD,BEDFORD COUNTY,CASCADE HIGH SCHOOL,2018,0.738738739
432375,BEDFORD,BEDFORD,BEDFORD COUNTY,CASCADE HIGH SCHOOL,2019,0.654545455
432375,BEDFORD,BEDFORD,BEDFORD COUNTY,CASCADE HIGH SCHOOL,2020,0.517857143
432375,BEDFORD,BEDFORD,BEDFORD COUNTY,CASCADE HIGH SCHOOL,2021,0.507352941
432345,BEDFORD,BEDFORD,BEDFORD COUNTY,COMMUNITY HIGH SCHOOL,2017,0.503937008
432345,BEDFORD,BEDFORD,BEDFORD COUNTY,COMMUNITY HIGH SCHOOL,2018,0.572916667
432345,BEDFORD,BEDFORD,BEDFORD COUNTY,COMMUNITY HIGH SCHOOL,2019,0.45045045
432345,BEDFORD,BEDFORD,BEDFORD COUNTY,COMMUNITY HIGH SCHOOL,2020,0.373831776
432345,BEDFORD,BEDFORD,BEDFORD COUNTY,COMMUNITY HIGH SCHOOL,2021,0.5
432120,BEDFORD,BEDFORD,BEDFORD COUNTY,SHELBYVILLE CENTRAL HIGH SCHOOL,2017,0.476377953
432120,BEDFORD,BEDFORD,BEDFORD COUNTY,SHELBYVILLE CENTRAL HIGH SCHOOL,2018,0.488215488
432120,BEDFORD,BEDFORD,BEDFORD COUNTY,SHELBYVILLE CENTRAL HIGH SCHOOL,2019,0.441520468
432120,BEDFORD,BEDFORD,BEDFORD COUNTY,SHELBYVILLE CENTRAL HIGH SCHOOL,2020,0.492063492
432120,BEDFORD,BEDFORD,BEDFORD COUNTY,SHELBYVILLE CENTRAL HIGH SCHOOL,2021,0.403125
430125,BENTON,BENTON,BENTON COUNTY,BIG SANDY SCHOOL,2017,0.6
430125,BENTON,BENTON,BENTON COUNTY,BIG SANDY SCHOOL,2018,0.545454545
430125,BENTON,BENTON,BENTON COUNTY,BIG SANDY SCHOOL,2019,0.6
430125,BENTON,BENTON,BENTON COUNTY,BIG SANDY SCHOOL,2020,0.647058824
430125,BENTON,BENTON,BENTON COUNTY,BIG SANDY SCHOOL,2021,
