,county,year,population,bachelor_degree_pct,high_school_graduate_or_higher_pct
3,Anderson,2019,54265,0.13,0.87
4,Anderson,2020,54754,0.13,0.89
5,Anderson,2021,54743,0.13,0.9
9,Bedford,2019,32037,0.12,0.82
10,Bedford,2020,32547,0.12,0.84
11,Bedford,2021,32985,0.12,0.84
15,Benton,2019,11802,0.08,0.82
16,Benton,2020,11764,0.09,0.83
17,Benton,2021,11435,0.08,0.85
21,Bledsoe,2019,11032,0.08,0.76
22,Bledsoe,2020,11751,0.07,0.78
23,Bledsoe,2021,11704,0.07,0.77
27,Blount,2019,92995,0.16,0.89
28,Blount,2020,94763,0.16,0.89
29,Blount,2021,96415,0.16,0.9
33,Bradley,2019,72026,0.14,0.85
34,Bradley,2020,73177,0.15,0.87
35,Bradley,2021,73801,0.14,0.87
39,Campbell,2019,28665,0.08,0.77
40,Campbell,2020,28724,0.08,0.79
41,Campbell,2021,28413,0.08,0.8
45,Cannon,2019,10139,0.1,0.85
46,Cannon,2020,10293,0.11,0.84
47,Cannon,2021,10240,0.1,0.85
51,Carroll,2019,19286,0.11,0.84
52,Carroll,2020,19318,0.12,0.87
53,Carroll,2021,19552,0.12,0.88
57,Carter,2019,41969,0.11,0.84
58,Carter,2020,42217,0.12,0.85
59,Carter,2021,42028,0.12,0.87
63,Cheatham,2019,28231,0.14,0.87
64,Cheatham,2020,28562,0.14,0.87
65,Cheatham,2021,28847,0.14,0.87
69,Chester,2019,11091,0.1,0.85
70,Chester,2020,11283,0.1,0.85
71,Chester,2021,11317,0.1,0.85
75,Claiborne,2019,22722,0.1,0.8
76,Claiborne,2020,22841,0.1,0.8
77,Claiborne,2021,22947,0.11,0.82
81,Clay,2019,5588,0.09,0.8
82,Clay,2020,5557,0.09,0.81
83,Clay,2021,5572,0.09,0.82
87,Cocke,2019,25774,0.07,0.8
88,Cocke,2020,26080,0.07,0.82
89,Cocke,2021,26035,0.08,0.84
93,Coffee,2019,37610,0.13,0.85
94,Coffee,2020,38230,0.13,0.87
95,Coffee,2021,38910,0.14,0.88
99,Crockett,2019,9825,0.09,0.81
100,Crockett,2020,9829,0.1,0.84
101,Crockett,2021,9473,0.11,0.84
105,Cumberland,2019,44938,0.11,0.86
106,Cumberland,2020,45906,0.11,0.87
107,Cumberland,2021,46385,0.1,0.89
111,Davidson,2019,474362,0.26,0.89
112,Davidson,2020,478719,0.27,0.9
113,Davidson,2021,492479,0.28,0.9
117,DeKalb,2019,14120,0.12,0.8
118,DeKalb,2020,14344,0.13,0.8
119,DeKalb,2021,14200,0.13,0.81
123,Decatur,2019,8379,0.11,0.86
124,Decatur,2020,8466,0.11,0.85
125,Decatur,2021,8299,0.12,0.84
129,Dickson,2019,36399,0.1,0.84
130,Dickson,2020,37114,0.11,0.86
131,Dickson,2021,37545,0.12,0.87
135,Dyer,2019,25509,0.1,0.84
136,Dyer,2020,25213,0.12,0.86
137,Dyer,2021,24951,0.13,0.88
141,Fayette,2019,29515,0.15,0.86
142,Fayette,2020,30079,0.15,0.88
143,Fayette,2021,31005,0.16,0.89
147,Fentress,2019,13023,0.12,0.83
148,Fentress,2020,13212,0.12,0.81
149,Fentress,2021,13201,0.11,0.8
153,Franklin,2019,28554,0.12,0.88
154,Franklin,2020,28857,0.12,0.88
155,Franklin,2021,29084,0.13,0.89
159,Gibson,2019,33418,0.12,0.85
160,Gibson,2020,33392,0.12,0.86
161,Gibson,2021,34266,0.12,0.87
165,Giles,2019,20733,0.11,0.86
166,Giles,2020,20709,0.12,0.87
167,Giles,2021,21250,0.12,0.88
171,Grainger,2019,16634,0.07,0.79
172,Grainger,2020,16900,0.08,0.8
173,Grainger,2021,16952,0.09,0.8
177,Greene,2019,49755,0.1,0.85
178,Greene,2020,50031,0.1,0.85
179,Greene,2021,50635,0.11,0.85
183,Grundy,2019,9408,0.06,0.74
184,Grundy,2020,9433,0.07,0.78
185,Grundy,2021,9511,0.07,0.78
189,Hamblen,2019,43898,0.11,0.81
190,Hamblen,2020,44368,0.12,0.83
191,Hamblen,2021,44109,0.12,0.85
195,Hamilton,2019,253874,0.21,0.9
196,Hamilton,2020,257207,0.22,0.9
197,Hamilton,2021,256225,0.22,0.91
201,Hancock,2019,4743,0.05,0.77
202,Hancock,2020,4731,0.04,0.81
203,Hancock,2021,4806,0.04,0.81
207,Hardeman,2019,18221,0.07,0.8
208,Hardeman,2020,18210,0.07,0.81
209,Hardeman,2021,18491,0.07,0.82
213,Hardin,2019,18560,0.1,0.82
214,Hardin,2020,18569,0.12,0.83
215,Hardin,2021,19208,0.11,0.84
219,Hawkins,2019,40950,0.09,0.84
220,Hawkins,2020,41215,0.11,0.87
221,Hawkins,2021,41361,0.11,0.87
225,Haywood,2019,12196,0.06,0.82
226,Haywood,2020,12121,0.07,0.85
227,Haywood,2021,12485,0.07,0.83
231,Henderson,2019,19449,0.1,0.83
232,Henderson,2020,19508,0.09,0.85
233,Henderson,2021,19271,0.09,0.87
237,Henry,2019,23380,0.09,0.86
238,Henry,2020,23327,0.11,0.87
239,Henry,2021,23444,0.12,0.86
243,Hickman,2019,17463,0.08,0.79
