Educational Attainment,Location.1,Year,First Values
Population 25 years and over,Anderson County,2016,"53,614"
Population 25 years and over,Anderson County,2017,"53,674"
Population 25 years and over,Anderson County,2018,"53,973"
Population 25 years and over,Anderson County,2019,"54,265"
Population 25 years and over,Anderson County,2020,"54,754"
Population 25 years and over,Anderson County,2021,"54,743"
Population 25 years and over,Bedford County,2016,"30,407"
Population 25 years and over,Bedford County,2017,"30,826"
Population 25 years and over,Bedford County,2018,"31,370"
Population 25 years and over,Bedford County,2019,"32,037"
Population 25 years and over,Bedford County,2020,"32,547"
Population 25 years and over,Bedford County,2021,"32,985"
Population 25 years and over,Benton County,2016,"11,898"
Population 25 years and over,Benton County,2017,"11,827"
Population 25 years and over,Benton County,2018,"11,823"
Population 25 years and over,Benton County,2019,"11,802"
Population 25 years and over,Benton County,2020,"11,764"
Population 25 years and over,Benton County,2021,"11,435"
Population 25 years and over,Bledsoe County,2016,"10,223"
Population 25 years and over,Bledsoe County,2017,"10,989"
Population 25 years and over,Bledsoe County,2018,"11,151"
Population 25 years and over,Bledsoe County,2019,"11,032"
Population 25 years and over,Bledsoe County,2020,"11,751"
Population 25 years and over,Bledsoe County,2021,"11,704"
Population 25 years and over,Blount County,2016,"89,312"
Population 25 years and over,Blount County,2017,"90,409"
Population 25 years and over,Blount County,2018,"91,726"
Population 25 years and over,Blount County,2019,"92,995"
Population 25 years and over,Blount County,2020,"94,763"
Population 25 years and over,Blount County,2021,"96,415"
Population 25 years and over,Bradley County,2016,"69,225"
Population 25 years and over,Bradley County,2017,"70,006"
Population 25 years and over,Bradley County,2018,"70,942"
Population 25 years and over,Bradley County,2019,"72,026"
Population 25 years and over,Bradley County,2020,"73,177"
Population 25 years and over,Bradley County,2021,"73,801"
Population 25 years and over,Campbell County,2016,"28,628"
Population 25 years and over,Campbell County,2017,"28,593"
Population 25 years and over,Campbell County,2018,"28,540"
Population 25 years and over,Campbell County,2019,"28,665"
Population 25 years and over,Campbell County,2020,"28,724"
Population 25 years and over,Campbell County,2021,"28,413"
Population 25 years and over,Cannon County,2016,"9,873"
Population 25 years and over,Cannon County,2017,"9,834"
Population 25 years and over,Cannon County,2018,"9,985"
Population 25 years and over,Cannon County,2019,"10,139"
Population 25 years and over,Cannon County,2020,"10,293"
Population 25 years and over,Cannon County,2021,"10,240"
Population 25 years and over,Carroll County,2016,"19,538"
Population 25 years and over,Carroll County,2017,"19,385"
Population 25 years and over,Carroll County,2018,"19,392"
Population 25 years and over,Carroll County,2019,"19,286"
Population 25 years and over,Carroll County,2020,"19,318"
