Location.1,Values,Educational Attainment,Year
Anderson County,10.3%,Graduate or professional degree,2016
Anderson County,13.6%,Bachelor's degree,2016
Anderson County,22.2%,"Some college, no degree",2016
Anderson County,24.0%,Percent bachelor's degree or higher,2016
Anderson County,33.2%,High school graduate (includes equivalency),2016
Anderson County,"53,614",Population 25 years and over,2016
Anderson County,6.1%,Less than 9th grade,2016
Anderson County,6.2%,Associate's degree,2016
Anderson County,8.4%,"9th to 12th grade, no diploma",2016
Anderson County,85.5%,Percent high school graduate or higher,2016
Bedford County,12.3%,"9th to 12th grade, no diploma",2016
Bedford County,14.3%,Percent bachelor's degree or higher,2016
Bedford County,19.5%,"Some college, no degree",2016
Bedford County,"30,407",Population 25 years and over,2016
Bedford County,4.5%,Graduate or professional degree,2016
Bedford County,41.4%,High school graduate (includes equivalency),2016
Bedford County,5.2%,Associate's degree,2016
Bedford County,7.3%,Less than 9th grade,2016
Bedford County,80.5%,Percent high school graduate or higher,2016
Bedford County,9.8%,Bachelor's degree,2016
Benton County,"11,898",Population 25 years and over,2016
Benton County,11.9%,"9th to 12th grade, no diploma",2016
Benton County,12.2%,Percent bachelor's degree or higher,2016
Benton County,18.2%,"Some college, no degree",2016
Benton County,4.5%,Associate's degree,2016
Benton County,4.6%,Graduate or professional degree,2016
Benton County,46.7%,High school graduate (includes equivalency),2016
Benton County,6.4%,Less than 9th grade,2016
Benton County,7.6%,Bachelor's degree,2016
Benton County,81.7%,Percent high school graduate or higher,2016
Bledsoe County,"10,223",Population 25 years and over,2016
Bledsoe County,11.3%,Percent bachelor's degree or higher,2016
Bledsoe County,12.2%,"9th to 12th grade, no diploma",2016
Bledsoe County,13.2%,Less than 9th grade,2016
Bledsoe County,15.8%,"Some college, no degree",2016
Bledsoe County,4.9%,Graduate or professional degree,2016
Bledsoe County,41.4%,High school graduate (includes equivalency),2016
Bledsoe County,6.1%,Associate's degree,2016
Bledsoe County,6.4%,Bachelor's degree,2016
Bledsoe County,74.6%,Percent high school graduate or higher,2016
Blount County,15.4%,Bachelor's degree,2016
Blount County,21.9%,"Some college, no degree",2016
Blount County,23.1%,Percent bachelor's degree or higher,2016
Blount County,34.5%,High school graduate (includes equivalency),2016
Blount County,4.2%,Less than 9th grade,2016
Blount County,7.6%,"9th to 12th grade, no diploma",2016
Blount County,7.7%,Graduate or professional degree,2016
Blount County,8.6%,Associate's degree,2016
Blount County,88.2%,Percent high school graduate or higher,2016
Blount County,"89,312",Population 25 years and over,2016
Bradley County,13.4%,Bachelor's degree,2016
Bradley County,20.9%,Percent bachelor's degree or higher,2016
Bradley County,22.1%,"Some college, no degree",2016
Bradley County,32.7%,High school graduate (includes equivalency),2016
Bradley County,6.9%,Less than 9th grade,2016
Bradley County,"69,225",Population 25 years and over,2016
Bradley County,7.5%,Graduate or professional degree,2016
Bradley County,7.7%,Associate's degree,2016
Bradley County,83.5%,Percent high school graduate or higher,2016
Bradley County,9.7%,"9th to 12th grade, no diploma",2016
Campbell County,10.6%,Percent bachelor's degree or higher,2016
Campbell County,11.3%,Less than 9th grade,2016
Campbell County,14.3%,"9th to 12th grade, no diploma",2016
Campbell County,17.0%,"Some college, no degree",2016
Campbell County,"28,628",Population 25 years and over,2016
Campbell County,4.0%,Graduate or professional degree,2016
Campbell County,4.8%,Associate's degree,2016
Campbell County,42.0%,High school graduate (includes equivalency),2016
Campbell County,6.7%,Bachelor's degree,2016
Campbell County,74.4%,Percent high school graduate or higher,2016
Cannon County,11.5%,"9th to 12th grade, no diploma",2016
Cannon County,13.0%,Percent bachelor's degree or higher,2016
Cannon County,19.9%,"Some college, no degree",2016
Cannon County,4.2%,Graduate or professional degree,2016
Cannon County,45.2%,High school graduate (includes equivalency),2016
Cannon County,5.1%,Associate's degree,2016
Cannon County,5.2%,Less than 9th grade,2016
Cannon County,8.8%,Bachelor's degree,2016
Cannon County,83.2%,Percent high school graduate or higher,2016
Cannon County,"9,873",Population 25 years and over,2016
Carroll County,12.6%,"9th to 12th grade, no diploma",2016
Carroll County,15.0%,Percent bachelor's degree or higher,2016
Carroll County,18.7%,"Some college, no degree",2016
Carroll County,"19,538",Population 25 years and over,2016
Carroll County,4.1%,Associate's degree,2016
Carroll County,41.2%,High school graduate (includes equivalency),2016
