Location.1,Values,Educational Attainment,Year
Anderson County,0.10,Graduate or professional degree,2016
Anderson County,0.14,Bachelor's degree,2016
Anderson County,0.22,"Some college, no degree",2016
Anderson County,0.24,Percent bachelor's degree or higher,2016
Anderson County,0.33,High school graduate (includes equivalency),2016
Anderson County,53614.00,Population 25 years and over,2016
Anderson County,0.06,Less than 9th grade,2016
Anderson County,0.06,Associate's degree,2016
Anderson County,0.08,"9th to 12th grade, no diploma",2016
Anderson County,0.86,Percent high school graduate or higher,2016
Bedford County,0.12,"9th to 12th grade, no diploma",2016
Bedford County,0.14,Percent bachelor's degree or higher,2016
Bedford County,0.20,"Some college, no degree",2016
Bedford County,30407.00,Population 25 years and over,2016
Bedford County,0.05,Graduate or professional degree,2016
Bedford County,0.41,High school graduate (includes equivalency),2016
Bedford County,0.05,Associate's degree,2016
Bedford County,0.07,Less than 9th grade,2016
Bedford County,0.81,Percent high school graduate or higher,2016
Bedford County,0.10,Bachelor's degree,2016
Benton County,11898.00,Population 25 years and over,2016
Benton County,0.12,"9th to 12th grade, no diploma",2016
Benton County,0.12,Percent bachelor's degree or higher,2016
Benton County,0.18,"Some college, no degree",2016
Benton County,0.05,Associate's degree,2016
Benton County,0.05,Graduate or professional degree,2016
Benton County,0.47,High school graduate (includes equivalency),2016
Benton County,0.06,Less than 9th grade,2016
Benton County,0.08,Bachelor's degree,2016
Benton County,0.82,Percent high school graduate or higher,2016
Bledsoe County,10223.00,Population 25 years and over,2016
Bledsoe County,0.11,Percent bachelor's degree or higher,2016
Bledsoe County,0.12,"9th to 12th grade, no diploma",2016
Bledsoe County,0.13,Less than 9th grade,2016
Bledsoe County,0.16,"Some college, no degree",2016
Bledsoe County,0.05,Graduate or professional degree,2016
Bledsoe County,0.41,High school graduate (includes equivalency),2016
Bledsoe County,0.06,Associate's degree,2016
Bledsoe County,0.06,Bachelor's degree,2016
Bledsoe County,0.75,Percent high school graduate or higher,2016
Blount County,0.15,Bachelor's degree,2016
Blount County,0.22,"Some college, no degree",2016
Blount County,0.23,Percent bachelor's degree or higher,2016
Blount County,0.35,High school graduate (includes equivalency),2016
Blount County,0.04,Less than 9th grade,2016
Blount County,0.08,"9th to 12th grade, no diploma",2016
Blount County,0.08,Graduate or professional degree,2016
Blount County,0.09,Associate's degree,2016
Blount County,0.88,Percent high school graduate or higher,2016
Blount County,89312.00,Population 25 years and over,2016
Bradley County,0.13,Bachelor's degree,2016
Bradley County,0.21,Percent bachelor's degree or higher,2016
Bradley County,0.22,"Some college, no degree",2016
Bradley County,0.33,High school graduate (includes equivalency),2016
Bradley County,0.07,Less than 9th grade,2016
Bradley County,69225.00,Population 25 years and over,2016
Bradley County,0.08,Graduate or professional degree,2016
Bradley County,0.08,Associate's degree,2016
Bradley County,0.84,Percent high school graduate or higher,2016
Bradley County,0.10,"9th to 12th grade, no diploma",2016
Campbell County,0.11,Percent bachelor's degree or higher,2016
Campbell County,0.11,Less than 9th grade,2016
Campbell County,0.14,"9th to 12th grade, no diploma",2016
Campbell County,0.17,"Some college, no degree",2016
Campbell County,28628.00,Population 25 years and over,2016
Campbell County,0.04,Graduate or professional degree,2016
Campbell County,0.05,Associate's degree,2016
Campbell County,0.42,High school graduate (includes equivalency),2016
Campbell County,0.07,Bachelor's degree,2016
Campbell County,0.74,Percent high school graduate or higher,2016
Cannon County,0.12,"9th to 12th grade, no diploma",2016
Cannon County,0.13,Percent bachelor's degree or higher,2016
Cannon County,0.20,"Some college, no degree",2016
Cannon County,0.04,Graduate or professional degree,2016
Cannon County,0.45,High school graduate (includes equivalency),2016
Cannon County,0.05,Associate's degree,2016
Cannon County,0.05,Less than 9th grade,2016
Cannon County,0.09,Bachelor's degree,2016
Cannon County,0.83,Percent high school graduate or higher,2016
Cannon County,9873.00,Population 25 years and over,2016
Carroll County,0.13,"9th to 12th grade, no diploma",2016
Carroll County,0.15,Percent bachelor's degree or higher,2016
Carroll County,0.19,"Some college, no degree",2016
Carroll County,19538.00,Population 25 years and over,2016
Carroll County,0.04,Associate's degree,2016
Carroll County,0.41,High school graduate (includes equivalency),2016
Carroll County,0.06,Graduate or professional degree,2016
Carroll County,0.79,Percent high school graduate or higher,2016
Carroll County,0.08,Less than 9th grade,2016
Carroll County,0.09,Bachelor's degree,2016
Carter County,0.11,Bachelor's degree,2016
Carter County,0.11,"9th to 12th grade, no diploma",2016
Carter County,0.16,Percent bachelor's degree or higher,2016
Carter County,0.20,"Some college, no degree",2016
Carter County,0.39,High school graduate (includes equivalency),2016
Carter County,41161.00,Population 25 years and over,2016
Carter County,0.05,Graduate or professional degree,2016
Carter County,0.05,Associate's degree,2016
Carter County,0.07,Less than 9th grade,2016
Carter County,0.81,Percent high school graduate or higher,2016
Cheatham County,0.11,"9th to 12th grade, no diploma",2016
Cheatham County,0.13,Bachelor's degree,2016
Cheatham County,0.19,Percent bachelor's degree or higher,2016
Cheatham County,0.21,"Some college, no degree",2016
Cheatham County,27138.00,Population 25 years and over,2016
Cheatham County,0.04,Less than 9th grade,2016
Cheatham County,0.37,High school graduate (includes equivalency),2016
Cheatham County,0.06,Graduate or professional degree,2016
Cheatham County,0.08,Associate's degree,2016
Cheatham County,0.86,Percent high school graduate or higher,2016
Chester County,10958.00,Population 25 years and over,2016
Chester County,0.10,"9th to 12th grade, no diploma",2016
Chester County,0.16,Percent bachelor's degree or higher,2016
Chester County,0.22,"Some college, no degree",2016
Chester County,0.39,High school graduate (includes equivalency),2016
Chester County,0.06,Less than 9th grade,2016
Chester County,0.07,Graduate or professional degree,2016
Chester County,0.07,Associate's degree,2016
Chester County,0.84,Percent high school graduate or higher,2016
Chester County,0.09,Bachelor's degree,2016
Claiborne County,0.11,Less than 9th grade,2016
Claiborne County,0.12,"9th to 12th grade, no diploma",2016
Claiborne County,0.13,Percent bachelor's degree or higher,2016
Claiborne County,0.18,"Some college, no degree",2016
Claiborne County,22492.00,Population 25 years and over,2016
Claiborne County,0.41,High school graduate (includes equivalency),2016
Claiborne County,0.06,Graduate or professional degree,2016
Claiborne County,0.06,Associate's degree,2016
Claiborne County,0.08,Bachelor's degree,2016
Claiborne County,0.77,Percent high school graduate or higher,2016
Clay County,0.12,"9th to 12th grade, no diploma",2016
Clay County,0.12,"Some college, no degree",2016
Clay County,0.12,Less than 9th grade,2016
Clay County,0.14,Percent bachelor's degree or higher,2016
Clay County,0.04,Associate's degree,2016
Clay County,0.47,High school graduate (includes equivalency),2016
Clay County,5674.00,Population 25 years and over,2016
Clay County,0.06,Bachelor's degree,2016
Clay County,0.76,Percent high school graduate or higher,2016
Clay County,0.08,Graduate or professional degree,2016
Cocke County,0.10,Percent bachelor's degree or higher,2016
Cocke County,0.12,"9th to 12th grade, no diploma",2016
Cocke County,0.17,"Some college, no degree",2016
Cocke County,25243.00,Population 25 years and over,2016
Cocke County,0.04,Graduate or professional degree,2016
Cocke County,0.47,High school graduate (includes equivalency),2016
Cocke County,0.05,Associate's degree,2016
Cocke County,0.07,Bachelor's degree,2016
Cocke County,0.79,Percent high school graduate or higher,2016
Cocke County,0.09,Less than 9th grade,2016
Coffee County,0.12,Bachelor's degree,2016
Coffee County,0.19,Percent bachelor's degree or higher,2016
Coffee County,0.23,"Some college, no degree",2016
Coffee County,36481.00,Population 25 years and over,2016
Coffee County,0.38,High school graduate (includes equivalency),2016
Coffee County,0.05,Less than 9th grade,2016
Coffee County,0.06,Graduate or professional degree,2016
Coffee County,0.07,Associate's degree,2016
Coffee County,0.85,Percent high school graduate or higher,2016
Coffee County,0.10,"9th to 12th grade, no diploma",2016
Crockett County,0.14,Percent bachelor's degree or higher,2016
Crockett County,0.15,"9th to 12th grade, no diploma",2016
Crockett County,0.18,"Some college, no degree",2016
Crockett County,0.40,High school graduate (includes equivalency),2016
