associate_or_greater,county,fifth_choice_enrollment,fifth_college_choice_2021_grad_class,fifth_indemand_occupation_by_region,first_indemand_occupation_by_region,fourth_choice_enrollment,fourth_college_choice_2021_grad_class,fourth_indemand_occupation_by_region,hope_access_award,hope_fostercare_cnt,hope_non_traditional_cnt,hope_with_GAMS,nav_email,navigator,outreach_event_hours_invested,second_choice_enrolled,second_college_choice_2021_grad_class,second_indemand_occupation_by_region,third_choice_enrolled,third_college_choice_2021_grad_class,third_indemand_occupation_by_region,tn_Reconnect_active_cnt,top_college_choice_2021_grad_class,tsac_county_specialist,tsac_email,VETS Campuses,2017-2018_ug_enrollment_cnt,2017-2018_undergrad_degrees,2018-2019_ug_enrollment_cnt,2018-2019_undergrad_degrees,2019-2020_ug_enrollment_cnt,2019-2020_undergrad_degrees,2020-2021_ug_enrollment_cnt,2020-2021_undergrad_degrees,2021-2022_ug_enrollment_cnt,2021-2022_undergrad_degrees,2021_average_act_score,2021_first-time_freshman_TELS_recipient_rate,2021_hs_public_grad_rate,adults_25_to_64,bachelors_or_greater,collegegoingrate_2016,collegegoingrate_2021,dual_enrollment_college_enrolled_pct,dual_enrollment_grant_2021_cnt,fafsa_count_2021_2022,fafsa_filing_percentage,highschool_or_greater,hope_aspire_count,hope_dual_enrollment_cnt,hope_scholarship_students,median_income,outreach_attendance,path_to_college_school_cnt,pop_below_poverty_line,population_growth_2020_to_2022,projected_population_growth_2022_2032,some_college_no_degree,students_needed_for_5%_increase_cgr,tn_Promise_awarded_pct,tn_Promise_hs_senior_applications,tn_Reconnect_applicants,top_choice_enrollment,total_lottery_scholarship_awarded,tsaa_awarded,tsaa_eligible_student_cnt,unemployment_rate,Vets,wilder_naifeh_tech_skills_grant_cnt
0.32,Anderson,26,Tennessee Technological University,Editors,Nurse Anesthetists,27,East Tennessee State University,Purchasing Managers,<10,-,<10,106,whitney.mclaughlin@tn.gov,Whitney McLaughlin,31,71,UT Knoxville,Physicists,52,Pellissippi State Community College,Sales Managers,50,Roane State Community College,Rita Turchetta,Rita.Turchetta@tn.gov,Roane State Community College,3231,615,3155,595,3084,599,2977,626,2911,537,19.9,0.629,0.932,39561,0.223,0.692,0.57,0.635,345,4261,0.769,0.898,163,527,493,52338,359,9,0.152,0.009,0.03,0.241,43,0.34,768,273,144,4654109,1194318,807,0.055,1,154
0.233,Bedford,10,TCAT Shelbyville,Marketing Managers,Family Medicine Physicians,12,UT Chattanooga,"Engineers, All Other",-,-,-,51,dwight.fox@tn.gov,Dwight Fox,22.5,64,Middle Tennessee State University,Architectural and Engineering Managers,21,Columbia State Community College,Nurse Practitioners,43,Motlow State Community College,Eric Farmer,Eric.Farmer@tn.gov,Motlow State Community College,1821,338,1816,298,1781,321,1772,339,1657,309,18.1,0.689,0.911,25272,0.178,0.497,0.447,0.697,165,2441,0.711,0.845,108,184,314,52973,181,7,0.138,0.024,0.108,0.197,29,0.23,610,150,80,2663230,656197,461,0.044,1,136
0.205,Benton,<10,UT Knoxville,"Electronics Engineers, Except Computer",Veterinarians,<10,"Bethel University, Union University","Engineers, All Other",-,-,<10,12,toni.reeves@tn.gov,Toni Reeves,1,12,"Jackson State Community College, UT Martin",Mechanical Engineers,<10,Middle Tennessee State University,Civil Engineers,<10,Nashville State Community College,Lori Mitchum,Lori.Mitchum@tn.gov,Jackson State Community College,504,108,485,96,443,77,427,76,384,77,19.5,0.73,0.985,7912,0.12,0.649,0.461,0.735,34,699,0.902,0.874,55,40,77,39019,1,3,0.17,0.001,-0.003,0.192,7,0.234,137,44,15,722715,260926,153,0.072,1,29
0.161,Bledsoe,<10,"Cleveland State Community College, TCAT Chattanooga, Tennessee Technological University",Purchasing Managers,Physician Assistants,<10,Bryan College,Nurse Practitioners,-,-,-,<10,whitney.mclaughlin@tn.gov,Whitney McLaughlin,4,<10,UT Chattanooga,"Education Administrators, Postsecondary",<10,Chattanooga State Community College,Financial Managers,378,TCAT Crossville,Dustin Rawls,Dustin.Rawls@tn.gov,Chattanooga State Community College,304,56,351,68,362,68,364,56,355,60,16.8,0.679,0.923,9035,0.101,0.443,0.352,0.417,60,498,0.729,0.788,21,86,47,49382,16,1,0.205,0.016,0.054,0.161,6,0.191,110,32,11,475815,168756,118,0.075,1,37
0.338,Blount,27,Tennessee Technological University,Editors,Nurse Anesthetists,36,Maryville College,Purchasing Managers,10,<10,<10,264,whitney.mclaughlin@tn.gov,Whitney McLaughlin,88.5,93,UT Knoxville,Physicists,37,East Tennessee State University,Sales Managers,90,Pellissippi State Community College,Erika Adams,Erika.Adams@tn.gov,"Maryville College, Pellissippi State Community College",4268,827,4180,709,4251,766,3982,787,3906,742,20.1,0.706,0.945,68145,0.251,0.623,0.541,0.547,353,6562,0.708,0.909,265,625,1022,60301,1238,5,0.097,0.021,0.084,0.218,61,0.279,1209,404,240,8212632,1933722,1144,0.048,2,158
0.345,Bradley,40,UT Knoxville,Purchasing Managers,Physician Assistants,45,UT Chattanooga,Nurse Practitioners,<10,<10,<10,161,whitney.mclaughlin@tn.gov,Whitney McLaughlin,31.5,63,Lee University,"Education Administrators, Postsecondary",59,Chattanooga State Community College,Financial Managers,68,Cleveland State Community College,Rita Turchetta,Rita.Turchetta@tn.gov,Cleveland State Community College,3721,855,3975,848,3896,966,3590,971,3557,899,18.9,0.669,0.941,54929,0.25,0.659,0.591,0.608,334,6112,0.776,0.888,298,615,939,51872,655,10,0.156,0.017,0.076,0.222,56,0.335,1085,374,283,7331934,2391455,1276,0.054,1,119
0.211,Campbell,<10,Out-of-State Private Institution,Editors,Nurse Anesthetists,<10,UT Knoxville,Purchasing Managers,-,<10,-,20,whitney.mclaughlin@tn.gov,Whitney McLaughlin,37.5,34,TCAT Jacksboro,Physicists,10,East Tennessee State University,Sales Managers,17,Roane State Community College,Erika Adams,Erika.Adams@tn.gov,Roane State Community College,1349,254,1312,255,1372,222,1300,264,1191,242,16.5,0.657,0.902,20556,0.135,0.485,0.469,0.562,153,1852,0.817,0.829,69,235,161,41769,336,6,0.198,-0.003,-0.029,0.217,17,0.295,369,103,63,1621485,544801,376,0.102,1,143
0.227,Cannon,<10,"Freed-Hardeman University, TCAT McMinnville, Volunteer State Community College",Electrical Engineers,Marketing Managers,<10,Middle Tennessee State University,Nurse Practitioners,-,-,-,11,dwight.fox@tn.gov,Dwight Fox,25.5,<10,TCAT Murfreesboro,Software Developers and Software Quality Assurance Analysts and Testers,<10,Tennessee Technological University,Lawyers,15,Motlow State Community College,Eric Farmer,Eric.Farmer@tn.gov,Motlow State Community College,489,90,497,108,441,77,422,80,403,76,17.3,0.7,0.862,7699,0.172,0.575,0.42,0.714,42,573,0.677,0.873,19,67,92,52518,367,6,0.165,0.013,0.045,0.171,6,0.295,122,36,27,703338,139268,95,0.03,1,31
0.288,Carroll,<10,TCAT Paris,"Electronics Engineers, Except Computer",Veterinarians,12,Jackson State Community College,"Engineers, All Other",<10,-,<10,29,toni.reeves@tn.gov,Toni Reeves,44,17,Bethel University,Mechanical Engineers,13,TCAT McKenzie,Civil Engineers,<10,UT Martin,Lori Mitchum,Lori.Mitchum@tn.gov,Jackson State Community College,979,219,935,187,907,185,863,218,817,167,18.9,0.812,0.947,13773,0.216,0.76,0.505,0.63,54,1450,0.776,0.905,76,231,181,42877,347,7,0.168,-0.004,-0.032,0.212,14,0.138,269,50,39,1672375,663263,363,0.04,1,108
0.27,Carter,<10,"King University, Walters State Community College","Electronics Engineers, Except Computer",Veterinarians,15,"Milligan University, UT Knoxville","Engineers, All Other",<10,<10,<10,50,whitney.mclaughlin@tn.gov,Whitney McLaughlin,27.5,77,East Tennessee State University,Mechanical Engineers,35,TCAT Elizabethton,Civil Engineers,70,Northeast State Community College,Erika Adams,Erika.Adams@tn.gov,Northeast State Community College,1947,419,1881,409,1819,392,1733,383,1721,368,17,0.687,0.89,29947,0.203,0.588,0.528,0.759,145,2719,0.88,0.88,154,202,304,40820,221,8,0.191,-0.004,-0.038,0.229,27,0.258,496,165,100,2845042,988230,662,0.059,1,144
