year,system,system_name,subject,grade,student_group,valid_tests,n_below,n_approaching,n_met_expectations,n_exceeded_expectations,pct_below,pct_approaching,pct_met_expectations,pct_exceeded_expectations,pct_met_exceeded
2022,10,Anderson County,Biology I,9th through 12th,All Students,535,114,204,194,23,21.3,38.1,36.3,4.3,40.6
2022,10,Anderson County,Biology I,9th through 12th,Black/Hispanic/Native American,46,13,19,12,2,28.3,41.3,26.1,4.3,30.4
2022,10,Anderson County,Biology I,9th through 12th,Economically Disadvantaged,140,**,**,**,**,**,**,**,**,27.1
2022,10,Anderson County,Biology I,9th through 12th,English Learners with Transitional 1-4,7,*,*,*,*,*,*,*,*,*
2022,10,Anderson County,Biology I,9th through 12th,Students with Disabilities,63,**,**,**,**,**,**,**,**,12.7
2022,10,Anderson County,Biology I,9th through 12th,Super Subgroup,203,64,87,49,3,31.5,42.9,24.1,1.5,25.6
2022,10,Anderson County,ELA,3rd through 5th,All Students,1162,306,449,320,87,26.4,38.6,27.5,7.5,35
2022,10,Anderson County,ELA,3rd through 5th,Black/Hispanic/Native American,93,26,37,28,2,27.9,39.8,30.1,2.2,32.3
2022,10,Anderson County,ELA,3rd through 5th,Economically Disadvantaged,386,134,164,71,17,34.7,42.5,18.4,4.4,22.8
2022,10,Anderson County,ELA,3rd through 5th,English Learners with Transitional 1-4,16,6,5,3,2,37.4,31.3,18.8,12.5,31.3
2022,10,Anderson County,ELA,3rd through 5th,Students with Disabilities,207,116,71,15,5,56.1,34.3,7.2,2.4,9.7
2022,10,Anderson County,ELA,3rd through 5th,Super Subgroup,554,205,226,100,23,36.9,40.8,18.1,4.2,22.2
2022,10,Anderson County,ELA,3rd through 8th,All Students,2667,725,1148,639,155,27.2,43,24,5.8,29.8
2022,10,Anderson County,ELA,3rd through 8th,Black/Hispanic/Native American,208,73,84,48,3,35.1,40.4,23.1,1.4,24.5
2022,10,Anderson County,ELA,3rd through 8th,Economically Disadvantaged,863,314,385,134,30,36.4,44.6,15.5,3.5,19
2022,10,Anderson County,ELA,3rd through 8th,English Learners with Transitional 1-4,47,24,13,7,3,51,27.7,14.9,6.4,21.3
2022,10,Anderson County,ELA,3rd through 8th,Students with Disabilities,416,259,124,26,7,62.2,29.8,6.3,1.7,7.9
2022,10,Anderson County,ELA,3rd through 8th,Super Subgroup,1223,488,510,186,39,39.9,41.7,15.2,3.2,18.4
2022,10,Anderson County,ELA,6th through 8th,All Students,1505,419,699,319,68,27.9,46.4,21.2,4.5,25.7
2022,10,Anderson County,ELA,6th through 8th,Black/Hispanic/Native American,115,**,**,**,**,**,**,**,**,18.3
2022,10,Anderson County,ELA,6th through 8th,Economically Disadvantaged,477,180,221,63,13,37.8,46.3,13.2,2.7,15.9
2022,10,Anderson County,ELA,6th through 8th,English Learners with Transitional 1-4,31,18,8,4,1,58.1,25.8,12.9,3.2,16.1
2022,10,Anderson County,ELA,6th through 8th,Students with Disabilities,209,143,53,11,2,68.3,25.4,5.3,1,6.2
2022,10,Anderson County,ELA,6th through 8th,Super Subgroup,669,283,284,86,16,42.2,42.5,12.9,2.4,15.2
2022,10,Anderson County,HS English,9th through 12th,All Students,1084,180,532,316,56,16.5,49.1,29.2,5.2,34.3
2022,10,Anderson County,HS English,9th through 12th,Black/Hispanic/Native American,73,20,30,22,1,27.4,41.1,30.1,1.4,31.5
2022,10,Anderson County,HS English,9th through 12th,Economically Disadvantaged,301,76,165,52,8,25.2,54.8,17.3,2.7,19.9
2022,10,Anderson County,HS English,9th through 12th,English Learners with Transitional 1-4,9,*,*,*,*,*,*,*,*,*
2022,10,Anderson County,HS English,9th through 12th,Students with Disabilities,149,**,**,**,**,**,**,**,**,**
2022,10,Anderson County,HS English,9th through 12th,Super Subgroup,426,125,224,68,9,29.3,52.6,16,2.1,18.1
2022,10,Anderson County,HS Math,9th through 12th,All Students,1494,738,361,329,66,49.4,24.2,22,4.4,26.4
2022,10,Anderson County,HS Math,9th through 12th,Black/Hispanic/Native American,117,65,30,17,5,55.6,25.6,14.5,4.3,18.8
2022,10,Anderson County,HS Math,9th through 12th,Economically Disadvantaged,396,249,90,49,8,62.9,22.7,12.4,2,14.4
2022,10,Anderson County,HS Math,9th through 12th,English Learners with Transitional 1-4,19,**,**,**,**,**,**,**,**,15.8
2022,10,Anderson County,HS Math,9th through 12th,Students with Disabilities,162,**,**,**,**,**,**,**,**,2.5
