,HS_County,HS_District,High_School
0,ANDERSON,ANDERSON COUNTY,ANDERSON COUNTY HIGH SCHOOL
1,ANDERSON,ANDERSON COUNTY,CLINTON HIGH SCHOOL
2,ANDERSON,OAK RIDGE,OAK RIDGE HIGH SCHOOL
3,BEDFORD,BEDFORD COUNTY,CASCADE HIGH SCHOOL
4,BEDFORD,BEDFORD COUNTY,COMMUNITY HIGH SCHOOL
5,BEDFORD,BEDFORD COUNTY,SHELBYVILLE CENTRAL HIGH SCHOOL
6,BENTON,BENTON COUNTY,BIG SANDY SCHOOL
7,BENTON,BENTON COUNTY,CAMDEN CENTRAL HIGH SCHOOL
8,BLEDSOE,BLEDSOE COUNTY,BLEDSOE COUNTY HIGH SCHOOL
9,BLOUNT,ALCOA,ALCOA HIGH SCHOOL
10,BLOUNT,BLOUNT COUNTY,HERITAGE HIGH SCHOOL
11,BLOUNT,BLOUNT COUNTY,WILLIAM BLOUNT HIGH SCHOOL
12,BLOUNT,MARYVILLE,MARYVILLE HIGH SCHOOL
13,BRADLEY,BRADLEY COUNTY,BRADLEY CENTRAL HIGH SCHOOL
14,BRADLEY,BRADLEY COUNTY,BRADLEY COUNTY VIRTUAL SCHOOL
15,BRADLEY,BRADLEY COUNTY,NORTH CLEVELAND GOAL ACADEMY
16,BRADLEY,BRADLEY COUNTY,WALKER VALLEY HIGH SCHOOL
17,BRADLEY,CLEVELAND,CLEVELAND HIGH SCHOOL
18,CAMPBELL,CAMPBELL COUNTY,CAMPBELL COUNTY COMPREHENSIVE HIGH SCHOOL
19,CAMPBELL,CAMPBELL COUNTY,JELLICO HIGH SCHOOL
20,CANNON,CANNON COUNTY,CANNON COUNTY HIGH SCHOOL
21,CARROLL,HOLLOW ROCK - BRUCETON,CENTRAL HIGH SCHOOL
22,CARROLL,HUNTINGDON SPECIAL SCHOOL DISTRICT,HUNTINGDON HIGH SCHOOL
23,CARROLL,MCKENZIE,MCKENZIE HIGH SCHOOL
24,CARROLL,SOUTH CARROLL,CLARKSBURG HIGH SCHOOL
25,CARROLL,WEST CARROLL SP DIST,WEST CARROLL JUNIOR/SENIOR HIGH SCHOOL
26,CARTER,CARTER COUNTY,CLOUDLAND HIGH SCHOOL
27,CARTER,CARTER COUNTY,HAMPTON HIGH SCHOOL
28,CARTER,CARTER COUNTY,HAPPY VALLEY HIGH SCHOOL
29,CARTER,CARTER COUNTY,UNAKA HIGH SCHOOL
30,CARTER,ELIZABETHTON,ELIZABETHTON HIGH SCHOOL
31,CHEATHAM,CHEATHAM COUNTY,CHEATHAM COUNTY CENTRAL HIGH SCHOOL
32,CHEATHAM,CHEATHAM COUNTY,HARPETH HIGH SCHOOL
33,CHEATHAM,CHEATHAM COUNTY,SYCAMORE HIGH SCHOOL
34,CHESTER,CHESTER COUNTY,CHESTER COUNTY HIGH SCHOOL
35,CLAIBORNE,CLAIBORNE COUNTY,CLAIBORNE HIGH SCHOOL
36,CLAIBORNE,CLAIBORNE COUNTY,CUMBERLAND GAP HIGH SCHOOL
37,CLAY,CLAY COUNTY,CLAY COUNTY HIGH SCHOOL
38,COCKE,COCKE COUNTY,COCKE COUNTY HIGH
39,COCKE,COCKE COUNTY,COSBY HIGH SCHOOL
40,COFFEE,COFFEE COUNTY,COFFEE COUNTY CENTRAL HIGH SCHOOL
41,COFFEE,TULLAHOMA,TULLAHOMA HIGH SCHOOL
42,CROCKETT,CROCKETT COUNTY,CROCKETT COUNTY HIGH SCHOOL
43,CUMBERLAND,CUMBERLAND COUNTY,CUMBERLAND COUNTY HIGH SCHOOL
44,CUMBERLAND,CUMBERLAND COUNTY,STONE MEMORIAL HIGH SCHOOL
45,CUMBERLAND,CUMBERLAND COUNTY,THE PHOENIX SCHOOL
46,DAVIDSON,DAVIDSON COUNTY,ANTIOCH HIGH SCHOOL
47,DAVIDSON,DAVIDSON COUNTY,CANE RIDGE HIGH SCHOOL
48,DAVIDSON,DAVIDSON COUNTY,EAST NASHVILLE MAGNET HIGH SCHOOL
49,DAVIDSON,DAVIDSON COUNTY,GLENCLIFF COMPREHENSIVE HIGH SCHOOL
50,DAVIDSON,DAVIDSON COUNTY,HILLSBORO COMPREHENSIVE HIGH SCHOOL
51,DAVIDSON,DAVIDSON COUNTY,HILLWOOD COMPREHENSIVE HIGH SCHOOL
52,DAVIDSON,DAVIDSON COUNTY,HUME-FOGG MAGNET HIGH SCHOOL
53,DAVIDSON,DAVIDSON COUNTY,HUNTERS LANE COMPREHENSIVE HIGH SCHOOL
54,DAVIDSON,DAVIDSON COUNTY,JOHN OVERTON COMPREHENSIVE HIGH SCHOOL
55,DAVIDSON,DAVIDSON COUNTY,LEAD ACADEMY HIGH SCHOOL
56,DAVIDSON,DAVIDSON COUNTY,MAPLEWOOD COMPREHENSIVE HIGH SCHOOL
57,DAVIDSON,DAVIDSON COUNTY,MARTIN LUTHER KING MAGNET JUNIOR/SENIOR HIGH SCHOOL
58,DAVIDSON,DAVIDSON COUNTY,MCGAVOCK COMPREHENSIVE HIGH SCHOOL
59,DAVIDSON,DAVIDSON COUNTY,MNPS MIDDLE COLLEGE @ NASHVILLE ST COM COLLEGE
60,DAVIDSON,DAVIDSON COUNTY,MNPS VIRTUAL SCHOOL
61,DAVIDSON,DAVIDSON COUNTY,NASHVILLE BIG PICTURE HIGH SCHOOL
62,DAVIDSON,DAVIDSON COUNTY,NASHVILLE SCHOOL OF THE ARTS
63,DAVIDSON,DAVIDSON COUNTY,PEARL-COHN COMPREHENSIVE MAGNET HIGH SCHOOL
64,DAVIDSON,DAVIDSON COUNTY,STRATFORD STEM MAGNET SCHOOL
65,DAVIDSON,DAVIDSON COUNTY,THE ACADEMY AT HICKORY HOLLOW
66,DAVIDSON,DAVIDSON COUNTY,THE ACADEMY AT OLD COCKRILL
67,DAVIDSON,DAVIDSON COUNTY,THE ACADEMY AT OPRY MILLS
68,DAVIDSON,DAVIDSON COUNTY,WHITES CREEK COMPREHENSIVE HIGH SCHOOL
69,DAVIDSON,DEPARTMENT OF CHILDREN'S SERVICES EDUCATION DIVISION,DCS AFFILIATED SCHOOLS
70,DECATUR,DECATUR COUNTY,RIVERSIDE HIGH SCHOOL
71,DEKALB,DEKALB COUNTY,DEKALB COUNTY HIGH SCHOOL
72,DICKSON,DICKSON COUNTY,CREEK WOOD HIGH SCHOOL
73,DICKSON,DICKSON COUNTY,DICKSON COUNTY HIGH SCHOOL
74,DYER,DYER COUNTY,DYER COUNTY HIGH SCHOOL
75,DYER,DYERSBURG,DYERSBURG HIGH SCHOOL
76,FAYETTE,FAYETTE COUNTY PUBLIC SCHOOLS,FAYETTE-WARE HIGH SCHOOL
77,FENTRESS,ALVIN C YORK INSTITUTE,ALVIN C. YORK INSTITUTE
78,FENTRESS,FENTRESS COUNTY,CLARKRANGE HIGH SCHOOL
79,FRANKLIN,FRANKLIN COUNTY,FRANKLIN COUNTY HIGH SCHOOL
80,FRANKLIN,FRANKLIN COUNTY,HUNTLAND SCHOOL
81,GIBSON,BRADFORD,BRADFORD HIGH SCHOOL
82,GIBSON,GIBSON CO SP DIST,GIBSON COUNTY HIGH SCHOOL
83,GIBSON,GIBSON CO SP DIST,SOUTH GIBSON COUNTY HIGH SCHOOL
