district_number,district_name,school_number,school_name,school_year,gender,students_in_school_suspension,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent_in_school_suspension,percent_suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
0,State of Tennessee,,,2020,Female,14406,11275,267,1520,791,493844,2.9,2.3,0.1,0.3,0.2
0,State of Tennessee,,,2020,Male,32124,24024,666,3837,2023,519548,6.2,4.6,0.1,0.7,0.4
0,State of Tennessee,,,2020,,0,0,0,0,0,3,0,0,0,0,0
10,Anderson County,2,Anderson County High School,2020,Female,8,10,0,0,2,552,1.4,1.8,0,0,0.4
10,Anderson County,2,Anderson County High School,2020,Male,26,19,0,0,4,592,4.4,3.2,0,0,0.7
10,Anderson County,5,Andersonville Elementary,2020,Female,0,0,0,0,0,179,0,0,0,0,0
10,Anderson County,5,Andersonville Elementary,2020,Male,0,0,0,0,0,149,0,0,0,0,0
10,Anderson County,10,Briceville Elementary,2020,Female,0,0,0,0,0,58,0,0,0,0,0
10,Anderson County,10,Briceville Elementary,2020,Male,3,2,0,0,0,59,5.1,3.4,0,0,0
10,Anderson County,15,Claxton Elementary,2020,Female,3,4,0,0,0,220,1.4,1.8,0,0,0
10,Anderson County,15,Claxton Elementary,2020,Male,7,3,0,0,0,245,2.9,1.2,0,0,0
10,Anderson County,20,Clinton Middle School,2020,Female,27,22,0,0,1,339,8,6.5,0,0,0.3
10,Anderson County,20,Clinton Middle School,2020,Male,66,54,0,0,0,348,19,15.5,0,0,0
10,Anderson County,25,Clinton High School,2020,Female,26,28,0,0,1,572,4.5,4.9,0,0,0.2
10,Anderson County,25,Clinton High School,2020,Male,66,54,0,0,4,623,10.6,8.7,0,0,0.6
10,Anderson County,35,Dutch Valley Elementary,2020,Female,0,0,0,0,0,59,0,0,0,0,0
10,Anderson County,35,Dutch Valley Elementary,2020,Male,0,0,0,0,0,63,0,0,0,0,0
10,Anderson County,40,Fairview Elementary,2020,Female,0,0,0,0,0,157,0,0,0,0,0
10,Anderson County,40,Fairview Elementary,2020,Male,1,3,0,0,0,153,0.7,2,0,0,0
10,Anderson County,46,Grand Oaks Elementary,2020,Female,1,0,0,0,0,161,0.6,0,0,0,0
10,Anderson County,46,Grand Oaks Elementary,2020,Male,2,2,0,0,0,146,1.4,1.4,0,0,0
10,Anderson County,50,Lake City Elementary,2020,Female,3,0,0,0,0,213,1.4,0,0,0,0
10,Anderson County,50,Lake City Elementary,2020,Male,18,6,0,0,0,242,7.4,2.5,0,0,0
10,Anderson County,55,Lake City Middle School,2020,Female,12,14,0,0,0,155,7.7,9,0,0,0
10,Anderson County,55,Lake City Middle School,2020,Male,34,31,1,0,0,146,23.3,21.2,0.7,0,0
