district_number,district_name,school_number,school_name,alternative_school,school_year,grade_level,students_iss,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent of in school suspensions,percent suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
0,State of Tennessee,,,,2020,01,483,750,3,23,27,79015,0.6,0.9,0,0,0
0,State of Tennessee,,,,2020,02,576,884,9,26,37,77923,0.7,1.1,0,0,0
0,State of Tennessee,,,,2020,03,867,1060,7,41,63,77348,1.1,1.4,0,0.1,0.1
0,State of Tennessee,,,,2020,04,1195,1569,10,54,44,77300,1.5,2,0,0.1,0.1
0,State of Tennessee,,,,2020,05,2213,2363,12,86,98,78073,2.8,3,0,0.1,0.1
0,State of Tennessee,,,,2020,06,5709,4103,39,338,110,80812,7.1,5.1,0,0.4,0.1
0,State of Tennessee,,,,2020,07,6550,4696,59,664,216,81305,8.1,5.8,0.1,0.8,0.3
0,State of Tennessee,,,,2020,08,6268,4593,97,858,346,79666,7.9,5.8,0.1,1.1,0.4
0,State of Tennessee,,,,2020,09,7207,4748,231,1089,510,81131,8.9,5.9,0.3,1.3,0.6
0,State of Tennessee,,,,2020,10,6037,4023,191,990,511,77152,7.8,5.2,0.2,1.3,0.7
0,State of Tennessee,,,,2020,11,5046,3347,167,756,502,72730,6.9,4.6,0.2,1,0.7
0,State of Tennessee,,,,2020,12,4051,2576,105,423,328,71314,5.7,3.6,0.1,0.6,0.5
0,State of Tennessee,,,,2020,K,328,587,3,9,22,79626,0.4,0.7,0,0,0
10,Anderson County,2,Anderson County High School,No,2020,09,13,14,0,0,0,296,4.4,4.7,0,0,0
10,Anderson County,2,Anderson County High School,No,2020,10,7,8,0,0,3,293,2.4,2.7,0,0,1
10,Anderson County,2,Anderson County High School,No,2020,11,8,2,0,0,1,292,2.7,0.7,0,0,0.3
10,Anderson County,2,Anderson County High School,No,2020,12,6,5,0,0,2,263,2.3,1.9,0,0,0.8
10,Anderson County,5,Andersonville Elementary,No,2020,01,0,0,0,0,0,57,0,0,0,0,0
10,Anderson County,5,Andersonville Elementary,No,2020,02,0,0,0,0,0,60,0,0,0,0,0
10,Anderson County,5,Andersonville Elementary,No,2020,03,0,0,0,0,0,50,0,0,0,0,0
10,Anderson County,5,Andersonville Elementary,No,2020,04,0,0,0,0,0,48,0,0,0,0,0
10,Anderson County,5,Andersonville Elementary,No,2020,05,0,0,0,0,0,60,0,0,0,0,0
10,Anderson County,5,Andersonville Elementary,No,2020,K,0,0,0,0,0,53,0,0,0,0,0
10,Anderson County,10,Briceville Elementary,No,2020,01,2,0,0,0,0,29,6.9,0,0,0,0
10,Anderson County,10,Briceville Elementary,No,2020,02,0,0,0,0,0,18,0,0,0,0,0
10,Anderson County,10,Briceville Elementary,No,2020,03,1,0,0,0,0,22,4.5,0,0,0,0
10,Anderson County,10,Briceville Elementary,No,2020,04,0,2,0,0,0,20,0,10,0,0,0
10,Anderson County,10,Briceville Elementary,No,2020,05,0,0,0,0,0,17,0,0,0,0,0
10,Anderson County,10,Briceville Elementary,No,2020,K,0,0,0,0,0,11,0,0,0,0,0
10,Anderson County,15,Claxton Elementary,No,2020,01,0,0,0,0,0,88,0,0,0,0,0
10,Anderson County,15,Claxton Elementary,No,2020,02,0,1,0,0,0,79,0,1.3,0,0,0
10,Anderson County,15,Claxton Elementary,No,2020,03,2,2,0,0,0,83,2.4,2.4,0,0,0
10,Anderson County,15,Claxton Elementary,No,2020,04,7,4,0,0,0,79,8.9,5.1,0,0,0
10,Anderson County,15,Claxton Elementary,No,2020,05,1,0,0,0,0,68,1.5,0,0,0,0
10,Anderson County,15,Claxton Elementary,No,2020,K,0,0,0,0,0,68,0,0,0,0,0
10,Anderson County,20,Clinton Middle School,No,2020,06,18,16,0,0,0,172,10.5,9.3,0,0,0
10,Anderson County,20,Clinton Middle School,No,2020,07,52,34,0,0,0,244,21.3,13.9,0,0,0
10,Anderson County,20,Clinton Middle School,No,2020,08,23,26,0,0,1,271,8.5,9.6,0,0,0.4
10,Anderson County,25,Clinton High School,No,2020,09,41,39,0,0,2,335,12.2,11.6,0,0,0.6
10,Anderson County,25,Clinton High School,No,2020,10,28,18,0,0,0,297,9.4,6.1,0,0,0
10,Anderson County,25,Clinton High School,No,2020,11,16,16,0,0,3,296,5.4,5.4,0,0,1
10,Anderson County,25,Clinton High School,No,2020,12,7,9,0,0,0,267,2.6,3.4,0,0,0
10,Anderson County,35,Dutch Valley Elementary,No,2020,01,0,0,0,0,0,18,0,0,0,0,0
10,Anderson County,35,Dutch Valley Elementary,No,2020,02,0,0,0,0,0,16,0,0,0,0,0
10,Anderson County,35,Dutch Valley Elementary,No,2020,03,0,0,0,0,0,23,0,0,0,0,0
10,Anderson County,35,Dutch Valley Elementary,No,2020,04,0,0,0,0,0,22,0,0,0,0,0
10,Anderson County,35,Dutch Valley Elementary,No,2020,05,0,0,0,0,0,16,0,0,0,0,0
10,Anderson County,35,Dutch Valley Elementary,No,2020,K,0,0,0,0,0,27,0,0,0,0,0
10,Anderson County,40,Fairview Elementary,No,2020,01,0,0,0,0,0,51,0,0,0,0,0
10,Anderson County,40,Fairview Elementary,No,2020,02,0,0,0,0,0,47,0,0,0,0,0
10,Anderson County,40,Fairview Elementary,No,2020,03,0,0,0,0,0,47,0,0,0,0,0
10,Anderson County,40,Fairview Elementary,No,2020,04,1,2,0,0,0,63,1.6,3.2,0,0,0
10,Anderson County,40,Fairview Elementary,No,2020,05,0,1,0,0,0,59,0,1.7,0,0,0
10,Anderson County,40,Fairview Elementary,No,2020,K,0,0,0,0,0,43,0,0,0,0,0
10,Anderson County,46,Grand Oaks Elementary,No,2020,01,0,0,0,0,0,55,0,0,0,0,0
10,Anderson County,46,Grand Oaks Elementary,No,2020,02,1,1,0,0,0,50,2,2,0,0,0
10,Anderson County,46,Grand Oaks Elementary,No,2020,03,0,0,0,0,0,48,0,0,0,0,0
10,Anderson County,46,Grand Oaks Elementary,No,2020,04,0,0,0,0,0,45,0,0,0,0,0
10,Anderson County,46,Grand Oaks Elementary,No,2020,05,2,1,0,0,0,59,3.4,1.7,0,0,0
10,Anderson County,46,Grand Oaks Elementary,No,2020,K,0,0,0,0,0,50,0,0,0,0,0
10,Anderson County,50,Lake City Elementary,No,2020,01,4,3,0,0,0,68,5.9,4.4,0,0,0
10,Anderson County,50,Lake City Elementary,No,2020,02,4,1,0,0,0,72,5.6,1.4,0,0,0
10,Anderson County,50,Lake City Elementary,No,2020,03,3,0,0,0,0,74,4.1,0,0,0,0
10,Anderson County,50,Lake City Elementary,No,2020,04,6,0,0,0,0,83,7.2,0,0,0,0
10,Anderson County,50,Lake City Elementary,No,2020,05,3,1,0,0,0,77,3.9,1.3,0,0,0
10,Anderson County,50,Lake City Elementary,No,2020,K,1,1,0,0,0,81,1.2,1.2,0,0,0
10,Anderson County,55,Lake City Middle School,No,2020,06,12,10,0,0,0,95,12.6,10.5,0,0,0
10,Anderson County,55,Lake City Middle School,No,2020,07,17,19,0,0,0,103,16.5,18.4,0,0,0
10,Anderson County,55,Lake City Middle School,No,2020,08,17,16,1,0,0,103,16.5,15.5,1,0,0
10,Anderson County,70,Norris Elementary,No,2020,01,0,0,0,0,0,36,0,0,0,0,0
10,Anderson County,70,Norris Elementary,No,2020,02,0,0,0,0,0,33,0,0,0,0,0
10,Anderson County,70,Norris Elementary,No,2020,03,1,0,0,0,0,37,2.7,0,0,0,0
10,Anderson County,70,Norris Elementary,No,2020,04,0,1,0,0,0,45,0,2.2,0,0,0
10,Anderson County,70,Norris Elementary,No,2020,05,2,3,0,0,0,42,4.8,7.1,0,0,0
10,Anderson County,70,Norris Elementary,No,2020,K,0,0,0,0,0,51,0,0,0,0,0
10,Anderson County,75,Norris Middle School,No,2020,06,19,3,0,0,2,180,10.6,1.7,0,0,1.1
10,Anderson County,75,Norris Middle School,No,2020,07,21,8,0,0,0,179,11.7,4.5,0,0,0
10,Anderson County,75,Norris Middle School,No,2020,08,17,3,0,0,1,174,9.8,1.7,0,0,0.6
10,Anderson County,80,Norwood Elementary,No,2020,01,0,0,0,0,0,40,0,0,0,0,0
10,Anderson County,80,Norwood Elementary,No,2020,02,3,1,0,0,0,54,5.6,1.9,0,0,0
10,Anderson County,80,Norwood Elementary,No,2020,03,7,3,0,0,0,41,17.1,7.3,0,0,0
10,Anderson County,80,Norwood Elementary,No,2020,04,3,1,0,0,0,50,6,2,0,0,0
10,Anderson County,80,Norwood Elementary,No,2020,05,3,2,0,0,0,42,7.1,4.8,0,0,0
10,Anderson County,80,Norwood Elementary,No,2020,K,1,0,0,0,0,41,2.4,0,0,0,0
10,Anderson County,85,Norwood Middle School,No,2020,06,1,3,0,0,0,56,1.8,5.4,0,0,0
10,Anderson County,85,Norwood Middle School,No,2020,07,5,4,0,0,0,65,7.7,6.2,0,0,0
10,Anderson County,85,Norwood Middle School,No,2020,08,1,7,0,0,1,83,1.2,8.4,0,0,1.2
10,Anderson County,,,,2020,01,6,3,0,0,0,433,1.4,0.7,0,0,0
10,Anderson County,,,,2020,02,8,4,0,0,0,421,1.9,1,0,0,0
10,Anderson County,,,,2020,03,14,5,0,0,0,419,3.3,1.2,0,0,0
10,Anderson County,,,,2020,04,17,10,0,0,0,450,3.8,2.2,0,0,0
10,Anderson County,,,,2020,05,11,8,0,0,0,431,2.6,1.9,0,0,0
10,Anderson County,,,,2020,06,50,32,0,0,2,492,10.2,6.5,0,0,0.4
10,Anderson County,,,,2020,07,94,65,0,0,0,578,16.3,11.2,0,0,0
10,Anderson County,,,,2020,08,58,51,1,0,3,622,9.3,8.2,0.2,0,0.5
