district,district_name,school,school_name,alternative_school,school_year,student_group,students_iss,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent_iss,percent_suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
0,State of Tennessee,,,,2020,Black/Hispanic/Native American,21170,23355,723,2618,1668,369736,5.7,6.3,0.2,0.7,0.5
0,State of Tennessee,,,,2020,Economically Disadvantaged,22348,20875,600,3095,1505,340849,6.6,6.1,0.2,0.9,0.4
0,State of Tennessee,,,,2020,English Language Learner,1878,1440,44,141,115,54872,3.4,2.6,0.1,0.3,0.2
0,State of Tennessee,,,,2020,Student with Disabilities,8808,7828,134,1135,505,135048,6.5,5.8,0.1,0.8,0.4
10,Anderson County,2,Anderson County High School,No,2020,Black/Hispanic/Native American,3,1,0,0,0,34,8.8,2.9,0,0,0
10,Anderson County,2,Anderson County High School,No,2020,Economically Disadvantaged,15,15,0,0,1,299,5,5,0,0,0.3
10,Anderson County,2,Anderson County High School,No,2020,English Language Learner,0,0,0,0,0,2,0,0,0,0,0
10,Anderson County,2,Anderson County High School,No,2020,Student with Disabilities,10,10,0,0,2,161,6.2,6.2,0,0,1.2
10,Anderson County,5,Andersonville Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,13,0,0,0,0,0
10,Anderson County,5,Andersonville Elementary,No,2020,Economically Disadvantaged,0,0,0,0,0,117,0,0,0,0,0
10,Anderson County,5,Andersonville Elementary,No,2020,English Language Learner,0,0,0,0,0,3,0,0,0,0,0
10,Anderson County,5,Andersonville Elementary,No,2020,Student with Disabilities,0,0,0,0,0,51,0,0,0,0,0
10,Anderson County,10,Briceville Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,4,0,0,0,0,0
10,Anderson County,10,Briceville Elementary,No,2020,Economically Disadvantaged,2,0,0,0,0,61,3.3,0,0,0,0
10,Anderson County,10,Briceville Elementary,No,2020,Student with Disabilities,0,1,0,0,0,32,0,3.1,0,0,0
10,Anderson County,15,Claxton Elementary,No,2020,Black/Hispanic/Native American,1,1,0,0,0,58,1.7,1.7,0,0,0
10,Anderson County,15,Claxton Elementary,No,2020,Economically Disadvantaged,9,7,0,0,0,231,3.9,3,0,0,0
10,Anderson County,15,Claxton Elementary,No,2020,English Language Learner,0,0,0,0,0,17,0,0,0,0,0
10,Anderson County,15,Claxton Elementary,No,2020,Student with Disabilities,5,6,0,0,0,98,5.1,6.1,0,0,0
10,Anderson County,20,Clinton Middle School,No,2020,Black/Hispanic/Native American,15,9,0,0,0,60,25,15,0,0,0
10,Anderson County,20,Clinton Middle School,No,2020,Economically Disadvantaged,49,49,0,0,1,268,18.3,18.3,0,0,0.4
10,Anderson County,20,Clinton Middle School,No,2020,English Language Learner,0,0,0,0,0,6,0,0,0,0,0
10,Anderson County,20,Clinton Middle School,No,2020,Student with Disabilities,19,17,0,0,0,106,17.9,16,0,0,0
10,Anderson County,25,Clinton High School,No,2020,Black/Hispanic/Native American,9,9,0,0,1,102,8.8,8.8,0,0,1
10,Anderson County,25,Clinton High School,No,2020,Economically Disadvantaged,46,43,0,0,4,376,12.2,11.4,0,0,1.1
10,Anderson County,25,Clinton High School,No,2020,English Language Learner,1,0,0,0,0,8,12.5,0,0,0,0
10,Anderson County,25,Clinton High School,No,2020,Student with Disabilities,22,26,0,0,1,171,12.9,15.2,0,0,0.6
10,Anderson County,35,Dutch Valley Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,6,0,0,0,0,0
10,Anderson County,35,Dutch Valley Elementary,No,2020,Economically Disadvantaged,0,0,0,0,0,62,0,0,0,0,0
10,Anderson County,35,Dutch Valley Elementary,No,2020,English Language Learner,0,0,0,0,0,6,0,0,0,0,0
10,Anderson County,35,Dutch Valley Elementary,No,2020,Student with Disabilities,0,0,0,0,0,24,0,0,0,0,0
10,Anderson County,40,Fairview Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,18,0,0,0,0,0
10,Anderson County,40,Fairview Elementary,No,2020,Economically Disadvantaged,1,1,0,0,0,105,1,1,0,0,0
10,Anderson County,40,Fairview Elementary,No,2020,English Language Learner,0,0,0,0,0,2,0,0,0,0,0
10,Anderson County,40,Fairview Elementary,No,2020,Student with Disabilities,1,1,0,0,0,59,1.7,1.7,0,0,0
10,Anderson County,46,Grand Oaks Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,24,0,0,0,0,0
10,Anderson County,46,Grand Oaks Elementary,No,2020,Economically Disadvantaged,1,1,0,0,0,126,0.8,0.8,0,0,0
10,Anderson County,46,Grand Oaks Elementary,No,2020,Student with Disabilities,1,2,0,0,0,62,1.6,3.2,0,0,0
10,Anderson County,50,Lake City Elementary,No,2020,Black/Hispanic/Native American,2,2,0,0,0,20,10,10,0,0,0
10,Anderson County,50,Lake City Elementary,No,2020,Economically Disadvantaged,13,4,0,0,0,231,5.6,1.7,0,0,0
10,Anderson County,50,Lake City Elementary,No,2020,English Language Learner,0,0,0,0,0,3,0,0,0,0,0
10,Anderson County,50,Lake City Elementary,No,2020,Student with Disabilities,11,5,0,0,0,101,10.9,5,0,0,0
10,Anderson County,55,Lake City Middle School,No,2020,Black/Hispanic/Native American,2,3,0,0,0,8,25,37.5,0,0,0
10,Anderson County,55,Lake City Middle School,No,2020,Economically Disadvantaged,30,30,0,0,0,149,20.1,20.1,0,0,0
10,Anderson County,55,Lake City Middle School,No,2020,English Language Learner,0,0,0,0,0,1,0,0,0,0,0
10,Anderson County,55,Lake City Middle School,No,2020,Student with Disabilities,16,18,0,0,0,61,26.2,29.5,0,0,0
10,Anderson County,70,Norris Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,8,0,0,0,0,0
10,Anderson County,70,Norris Elementary,No,2020,Economically Disadvantaged,0,1,0,0,0,51,0,2,0,0,0
