district_number,district_name,school_number,school_name,school_year,race,students_in_school_suspension,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent_in_school_suspension,percent_suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
0,State of Tennessee,,,2020,Asian,345,220,5,20,22,25369,1.4,0.9,0,0.1,0.1
0,State of Tennessee,,,2020,Black or African American,16324,20140,625,2165,1355,244232,6.7,8.2,0.3,0.9,0.6
0,State of Tennessee,,,2020,Hispanic or Latino,4623,3104,94,422,293,121423,3.8,2.6,0.1,0.3,0.2
0,State of Tennessee,,,2020,Native American/Alaskan,223,111,4,31,20,4081,5.5,2.7,0.1,0.8,0.5
0,State of Tennessee,,,2020,Native Hawaiian/Pacific Islander,88,38,1,2,3,2297,3.8,1.7,0,0.1,0.1
0,State of Tennessee,,,2020,White,24927,11686,204,2717,1121,615993,4,1.9,0,0.4,0.2
10,Anderson County,2,Anderson County High School,2020,Asian,0,0,0,0,0,11,0,0,0,0,0
10,Anderson County,2,Anderson County High School,2020,Black or African American,2,1,0,0,0,15,13.3,6.7,0,0,0
10,Anderson County,2,Anderson County High School,2020,Hispanic or Latino,1,0,0,0,0,13,7.7,0,0,0,0
10,Anderson County,2,Anderson County High School,2020,Native American/Alaskan,,,,,,,,,,,
10,Anderson County,2,Anderson County High School,2020,Native Hawaiian/Pacific Islander,,,,,,,,,,,
10,Anderson County,2,Anderson County High School,2020,White,31,28,0,0,6,1096,2.8,2.6,0,0,0.5
10,Anderson County,5,Andersonville Elementary,2020,Black or African American,,,,,,,,,,,
10,Anderson County,5,Andersonville Elementary,2020,Hispanic or Latino,,,,,,,,,,,
10,Anderson County,5,Andersonville Elementary,2020,Native American/Alaskan,,,,,,,,,,,
10,Anderson County,5,Andersonville Elementary,2020,White,0,0,0,0,0,315,0,0,0,0,0
10,Anderson County,10,Briceville Elementary,2020,Hispanic or Latino,,,,,,,,,,,
10,Anderson County,10,Briceville Elementary,2020,Native American/Alaskan,,,,,,,,,,,
10,Anderson County,10,Briceville Elementary,2020,White,3,2,0,0,0,113,2.7,1.8,0,0,0
10,Anderson County,15,Claxton Elementary,2020,Asian,,,,,,,,,,,
10,Anderson County,15,Claxton Elementary,2020,Black or African American,1,1,0,0,0,29,3.4,3.4,0,0,0
10,Anderson County,15,Claxton Elementary,2020,Hispanic or Latino,0,0,0,0,0,26,0,0,0,0,0
10,Anderson County,15,Claxton Elementary,2020,Native American/Alaskan,,,,,,,,,,,
10,Anderson County,15,Claxton Elementary,2020,Native Hawaiian/Pacific Islander,,,,,,,,,,,
10,Anderson County,15,Claxton Elementary,2020,White,9,6,0,0,0,403,2.2,1.5,0,0,0
10,Anderson County,20,Clinton Middle School,2020,Asian,,,,,,,,,,,
10,Anderson County,20,Clinton Middle School,2020,Black or African American,14,9,0,0,0,36,38.9,25,0,0,0
10,Anderson County,20,Clinton Middle School,2020,Hispanic or Latino,1,0,0,0,0,20,5,0,0,0,0
10,Anderson County,20,Clinton Middle School,2020,Native American/Alaskan,,,,,,,,,,,
10,Anderson County,20,Clinton Middle School,2020,Native Hawaiian/Pacific Islander,,,,,,,,,,,
10,Anderson County,20,Clinton Middle School,2020,White,78,67,0,0,1,617,12.6,10.9,0,0,0.2
10,Anderson County,25,Clinton High School,2020,Asian,,,,,,,,,,,
10,Anderson County,25,Clinton High School,2020,Black or African American,6,6,0,0,1,62,9.7,9.7,0,0,1.6
10,Anderson County,25,Clinton High School,2020,Hispanic or Latino,3,2,0,0,0,34,8.8,5.9,0,0,0
10,Anderson County,25,Clinton High School,2020,Native American/Alaskan,,,,,,,,,,,
10,Anderson County,25,Clinton High School,2020,Native Hawaiian/Pacific Islander,,,,,,,,,,,
10,Anderson County,25,Clinton High School,2020,White,83,73,0,0,4,1082,7.7,6.7,0,0,0.4
10,Anderson County,35,Dutch Valley Elementary,2020,Asian,,,,,,,,,,,
10,Anderson County,35,Dutch Valley Elementary,2020,Black or African American,,,,,,,,,,,
10,Anderson County,35,Dutch Valley Elementary,2020,Hispanic or Latino,,,,,,,,,,,
10,Anderson County,35,Dutch Valley Elementary,2020,Native American/Alaskan,,,,,,,,,,,
10,Anderson County,35,Dutch Valley Elementary,2020,Native Hawaiian/Pacific Islander,,,,,,,,,,,
10,Anderson County,35,Dutch Valley Elementary,2020,White,0,0,0,0,0,111,0,0,0,0,0
10,Anderson County,40,Fairview Elementary,2020,Asian,,,,,,,,,,,
10,Anderson County,40,Fairview Elementary,2020,Black or African American,0,0,0,0,0,12,0,0,0,0,0
10,Anderson County,40,Fairview Elementary,2020,Hispanic or Latino,,,,,,,,,,,
10,Anderson County,40,Fairview Elementary,2020,Native Hawaiian/Pacific Islander,,,,,,,,,,,
10,Anderson County,40,Fairview Elementary,2020,White,1,3,0,0,0,286,0.3,1,0,0,0
10,Anderson County,46,Grand Oaks Elementary,2020,Black or African American,0,0,0,0,0,16,0,0,0,0,0
10,Anderson County,46,Grand Oaks Elementary,2020,Hispanic or Latino,,,,,,,,,,,
10,Anderson County,46,Grand Oaks Elementary,2020,Native American/Alaskan,,,,,,,,,,,
10,Anderson County,46,Grand Oaks Elementary,2020,Native Hawaiian/Pacific Islander,,,,,,,,,,,
10,Anderson County,46,Grand Oaks Elementary,2020,White,3,2,0,0,0,282,1.1,0.7,0,0,0
10,Anderson County,50,Lake City Elementary,2020,Asian,,,,,,,,,,,
10,Anderson County,50,Lake City Elementary,2020,Black or African American,,,,,,,,,,,
10,Anderson County,50,Lake City Elementary,2020,Hispanic or Latino,,,,,,,,,,,
10,Anderson County,50,Lake City Elementary,2020,Native Hawaiian/Pacific Islander,,,,,,,,,,,
10,Anderson County,50,Lake City Elementary,2020,White,19,4,0,0,0,431,4.4,0.9,0,0,0
10,Anderson County,55,Lake City Middle School,2020,Asian,,,,,,,,,,,
10,Anderson County,55,Lake City Middle School,2020,Black or African American,,,,,,,,,,,
10,Anderson County,55,Lake City Middle School,2020,Hispanic or Latino,,,,,,,,,,,
10,Anderson County,55,Lake City Middle School,2020,Native American/Alaskan,,,,,,,,,,,
10,Anderson County,55,Lake City Middle School,2020,Native Hawaiian/Pacific Islander,,,,,,,,,,,
10,Anderson County,55,Lake City Middle School,2020,White,44,42,1,0,0,289,15.2,14.5,0.3,0,0
10,Anderson County,70,Norris Elementary,2020,Asian,,,,,,,,,,,
10,Anderson County,70,Norris Elementary,2020,Black or African American,,,,,,,,,,,
10,Anderson County,70,Norris Elementary,2020,Hispanic or Latino,,,,,,,,,,,
10,Anderson County,70,Norris Elementary,2020,White,3,4,0,0,0,233,1.3,1.7,0,0,0
10,Anderson County,75,Norris Middle School,2020,Asian,,,,,,,,,,,
10,Anderson County,75,Norris Middle School,2020,Black or African American,1,1,0,0,0,13,7.7,7.7,0,0,0
10,Anderson County,75,Norris Middle School,2020,Hispanic or Latino,0,1,0,0,0,19,0,5.3,0,0,0
10,Anderson County,75,Norris Middle School,2020,Native American/Alaskan,,,,,,,,,,,
10,Anderson County,75,Norris Middle School,2020,Native Hawaiian/Pacific Islander,,,,,,,,,,,
