district_number,district,street_address_1,street_address_2,city,state,zipcode,phone1,phone2,grades_served,director,countyname,school_count
0,State of Tennessee,710 James Robertson Pkwy,,Nashville,TN,37243,,,Grades PK-12,Commissioner Penny Schwinn,State,1878
10,Anderson County,101 South Main ST,,Clinton,TN,37716,(865) 463-2800,(865) 457-9157,Grades PK-12,Dr. Tim Parrott,Anderson County,18
11,Clinton,212  N  Hicks ST,,Clinton,TN,37716,(865) 457-0159,(865) 463-0668,Grades PK-6,Kelly D. Johnson,Anderson County,3
12,Oak Ridge,P. O. Box 6588 AVE,,Oak Ridge,TN,37831,(865) 425-9001,(865) 425-9070,Grades PK-12,Dr. Bruce Borchers,Anderson County,8
20,Bedford County,500  Madison  ST,,Shelbyville,TN,37160,(931) 684-3284,(931) 684-3289,Grades PK-12,Don Embry,Bedford County,14
30,Benton County,197 Briarwood ST,,Camden,TN,38320,(731) 584-6111,(731) 584-8142,Grades PK-12,Mark Florence,Benton County,8
40,Bledsoe County,P. O. Box 369 ST,,Pikeville,TN,37367,(423) 447-2914,(423) 447-7135,Grades PK-12,James Ellis,Bledsoe County,5
50,Blount County,831  Grandview  DR,,Maryville,TN,37803,(865) 984-1212,(865) 980-1002,Grades PK-12,Mr. Robb Britt,Blount County,22
51,Alcoa,524 Faraday ST,,Alcoa,TN,37701,(865) 984-0531,(865) 984-5832,Grades PK-12,Rebecca Stone,Blount County,4
52,Maryville,833  Lawrence  AVE,,Maryville,TN,37803,(865) 982-7121,(865) 977-5055,Grades PK-12,Dr. Mike Winstead,Blount County,7
60,Bradley County,800  South  Lee HWY,,Cleveland,TN,37311,(423) 476-0620,(423) 476-0485,Grades PK-12,Dr. Linda Cash,Bradley County,17
61,Cleveland,4300  Mouse  Creek Nw RD,,Cleveland,TN,37312,(423) 472-9571,(423) 472-3390,Grades PK-12,Dr. Russell Dyer,Bradley County,9
70,Campbell County,P. O. Box 445 ST,,Jacksboro,TN,37757,(423) 562-8377,(423) 566-7562,Grades PK-12,Jennifer Fields,Campbell County,15
80,Cannon County,301 West Main ST,,Woodbury,TN,37190,(615) 563-5752,(615) 563-5772,Grades PK-12,Mr. William Freddy Curtis,Cannon County,7
90,Carroll County,P. O. Box 799 ST,,Huntingdon,TN,38344,(731) 986-4482,(731) 986-0198,Grades PK-12,John McAdams,Carroll County,2
92,Hollow Rock - Bruceton,P. O. Box 135 ST,,Bruceton,TN,38317,(731) 418-4180,(731) 418-4188,Grades PK-12,David Duncan,Carroll County,2
93,Huntingdon Special School District,585 High ST,P. O. Box 648,Huntingdon,TN,38344,(731) 986-2222,(731) 986-4365,Grades PK-12,Pat Dillahunty,Carroll County,4
94,McKenzie,114  W  Bell AVE,,McKenzie,TN,38201,(731) 352-2246,(731) 352-7550,Grades PK-12,Lynn Watkins,Carroll County,3
95,South Carroll,145 Clarksburg RD,P. O. Box  219,Clarksburg,TN,38324,(731) 986-3165,(731) 986-4562,Grades PK-12,Lex Suite,Carroll County,1
97,West Carroll Sp Dist,P. O. Box 279,,Trezevant,TN,38258,(731) 662-4200,(731) 662-4250,Grades PK-12,Dexter Williams,Carroll County,3
100,Carter County,305 Academy ST,,Elizabethton,TN,37673,(423) 547-4000,(423) 547-8338,Grades PK-12,Dr. Tracy McAbee,Carter County,15
101,Elizabethton,804 S Watauga AVE,,Elizabethton,TN,37643,(423) 547-8000,(423) 547-8929,Grades PK-12,Richard VanHuss,Carter County,5
110,Cheatham County,102  Elizabeth  ST,,Ashland City,TN,37015,(615) 792-5664,(615) 792-2551,Grades PK-12,Dr. Cathy Beck,Cheatham County,13
120,Chester County,970 East Main ST,,Henderson,TN,38340,(731) 989-5134,(731) 989-4755,Grades PK-12,Troy Kilzer II,Chester County,6
130,Claiborne County,P. O.  Box 179 RD,,Tazewell,TN,37879,(423) 626-3543,(423) 626-5945,Grades PK-12,Dr. Linda Keck,Claiborne County,13
140,Clay County,P. O. Box 469 ST,,Celina,TN,38551,(931) 243-3310,(931) 243-3706,Grades PK-12,Matt Eldridge,Clay County,4
150,Cocke County,305 Hedrick DR,,Newport,TN,37821,(423) 623-7821,(423) 625-3947,Grades PK-12,Mr. Manney Moore,Cocke County,12
151,Newport,301 College ST,,Newport,TN,37821,(423) 625-0686,(423) 613-8029,Grades PK-8,Ms. Sandra W. Burchette,Cocke County,1
160,Coffee County,1343  McArthur  ST,,Manchester,TN,37355,(931) 723-5150,(931) 723-5153,Grades PK-12,Dr. Charles Lawson,Coffee County,10
161,Manchester,215  East  Fort ST,,Manchester,TN,37355,(931) 728-2316,(931) 728-7075,Grades PK-8,Dr. Joey Vaughn,Coffee County,3
162,Tullahoma,510  S  Jackson ST,,Tullahoma,TN,37388,(931) 454-2600,(931) 454-2642,Grades PK-12,Dr. Catherine Stephens,Coffee County,7
170,Crockett County,102 North Cavalier DR,,Alamo,TN,38001,(731) 696-2604,(731) 696-4734,Grades PK-12,P. A. Pratt,Crockett County,5
171,Alamo,265 East Park ST,,Alamo,TN,38001,(731) 696-5515,(731) 696-2541,Grades PK-6,Reecha Black,Crockett County,1
172,Bells,4547 Hwy  88 South,,Bells,TN,38006,(731) 663-2041,(731) 663-2161,Grades PK-5,Mark Wallace - Director,Crockett County,1
180,Cumberland County,368 4th ST,,Crossville,TN,38555,(931) 484-8091,(931) 484-6491,Grades PK-12,Ina Maxwell,Cumberland County,12
190,Davidson County,2601 Bransford AVE,,Nashville,TN,37204,(615) 259-4636,(615) 214-8850,Grades PK-12,Dr. Adrienne Battle,Davidson County,168
200,Decatur County,P. O. Box 369,,Decaturville,TN,38329,(731) 852-2391,(731) 852-2960,Grades PK-12,Chris Villaflor,Decatur County,4
210,DeKalb County,110 South Public Square,,Smithville,TN,37166,(615) 597-4084,(615) 597-6326,Grades PK-12,Patrick Cripps,DeKalb County,6
220,Dickson County,817  N  Charlotte ST,,Dickson,TN,37055,(615) 446-7571,(615) 441-1375,Grades PK-12,Dr. Danny L. Weeks,Dickson County,18
230,Dyer County,159 Everett AVE,,Dyersburg,TN,38024,(731) 285-6712,(731) 286-6721,Grades PK-12,Cheryl Mathis,Dyer County,8
231,Dyersburg,509 Lake RD,,Dyersburg,TN,38024,(731) 286-3600,(731) 286-2754,Grades PK-12,Kim Worley,Dyer County,4
240,Fayette County Public Schools,P O Box 9 ST,,Somerville,TN,38068,(901) 465-5260,(901) 465-3299,Grades PK-12,Dr. Connie Smith,Fayette County,7
250,Fentress County,P. O. Box 963,,Jamestown,TN,38556,(931) 879-9218,(931) 879-4050,Grades PK-12,Mike Jones,Fentress County,6
260,Franklin County,215 South College ST,,Winchester,TN,37398,(931) 967-0626,(931) 967-7832,Grades PK-12,Mr. Stanley Bean,Franklin County,11
271,Humboldt City Schools,2602 Viking DR,,Humboldt,TN,38343,(731) 784-2652,(731) 784-2480,Grades PK-12,Dr. Versie R. Hamlett,Gibson County,3
272,Milan,1165 South Main ST,,Milan,TN,38358,(731) 686-0844,(731) 686-8781,Grades PK-12,Jonathan Criswell,Gibson County,3
273,Trenton,201  W  10th ST,,Trenton,TN,38382,(731) 855-1191,(731) 855-1414,Grades PK-12,Tim Haney,Gibson County,3
274,Bradford,P. O. Box 220 ST,,Bradford,TN,38316,(731) 742-3180,(731) 742-3994,Grades PK-12,Dan Black,Gibson County,2
275,Gibson Co Sp Dist,130 Hwy  45 W Box 60,,Dyer,TN,38330,(731) 692-3803,(731) 692-4375,Grades PK-12,Eddie Pruett,Gibson County,9
280,Giles County,270  Richland  DR,,Pulaski,TN,38478,(931) 363-4558,(931) 363-8975,Grades PK-12,Vickie Beard,Giles County,8
290,Grainger County,P. O.  Box 38 PIKE,,Rutledge,TN,37861,(865) 828-3611,(865) 828-4357,Grades PK-12,Mr. James Atkins,Grainger County,9
300,Greene County,910 Summer ST,,Greeneville,TN,37743,(423) 639-4194,(423) 639-1615,Grades PK-12,Mr. David McLain,Greene County,16
301,Greeneville,P O  Box 1420 ST,,Greeneville,TN,37744,(423) 787-8000,(423) 638-2540,Grades PK-12,Steve Starnes,Greene County,7
310,Grundy County,P. O. Box 97 ST,,Altamont,TN,37301,(931) 692-3467,(931) 692-2188,Grades PK-12,Glenda M. Dykes,Grundy County,8
320,Hamblen County,210 East  Morris BLVD,,Morristown,TN,37813,(423) 586-7700,(423) 586-7747,Grades PK-12,Dr. Jeff Perry,Hamblen County,18
330,Hamilton County,3074 Hickory Valley RD,,Chattanooga,TN,37421,(423) 498-7020,(423) 209-8601,Grades PK-12,Dr. Bryan Johnson,Hamilton County,79
340,Hancock County,P.O. Box 629 ST,,Sneedville,TN,37869,(423) 733-2591,(423) 733-8757,Grades PK-12,Dr. Michael Belcher,Hancock County,3
350,Hardeman County Schools,10815 Old Hwy. 64,,Bolivar,TN,38008,(731) 658-2510,(731) 658-2061,Grades PK-12,Mr. Warner Ross II,Hardeman County,9
360,Hardin County,155 Guinn ST,,Savannah,TN,38372,(731) 925-3943,(731) 925-7313,Grades PK-12,Michael Davis,Hardin County,7
370,Hawkins County,200 N  Depot ST,,Rogersville,TN,37857,(423) 272-7629,(423) 357-6694,Grades PK-12,Dr. Greg Sturgill,Hawkins County,18
371,Rogersville,116 Broadway,,Rogersville,TN,37857,(423) 272-7651,(423) 272-7790,Grades PK-8,J.T. Stroder,Hawkins County,1
380,Haywood County,900 East Main ST,,Brownsville,TN,38012,(731) 772-9613,(731) 772-3275,Grades PK-12,Mr. Joey Hassell,Haywood County,5
390,Henderson County,35 East Wilson ST,,Lexington,TN,38351,(731) 968-3661,(731) 968-9457,Grades PK-12,Steve Wilkinson,Henderson County,9
391,Lexington,99 Monroe AVE,,Lexington,TN,38351,(731) 967-5591,(731) 967-0794,Grades PK-8,Cindy Olive,Henderson County,2
400,Henry County,217  Grove  BLVD,,Paris,TN,38242,(731) 642-9733,(731) 642-8073,Grades PK-12,Leah Watkins,Henry County,6
401,Paris,1219 Hwy 641 S,,Paris,TN,38242,(731) 642-9322,(731) 642-9327,Grades PK-8,Dr. Norma Gerrell,Henry County,3
410,Hickman County,115  Murphree  AVE,,Centerville,TN,37033,(931) 729-3391,(931) 729-3834,Grades PK-12,Michelle Gilbert,Hickman County,8
420,Houston County,P O  Box 209,,Erin,TN,37061,(931) 289-4148,(931) 289-5543,Grades PK-12,Ms. Kris McAskill,Houston County,5
430,Humphreys County,2443 Hwy  70 E,,Waverly,TN,37185,(931) 296-2568,(931) 296-6501,Grades PK-12,Richard Rye,Humphreys County,7
440,Jackson County,711 School DR,,Gainesboro,TN,38562,(931) 268-0268,(931) 268-3647,Grades PK-12,Kristy Brown,Jackson County,4
450,Jefferson County,P. O. Box 190 ST,,Dandridge,TN,37725,(865) 397-3194,(865) 397-3301,Grades PK-12,Dr. Shane Johnston,Jefferson County,13
460,Johnson County,211 N  Church ST,,Mountain City,TN,37683,(423) 727-2640,(423) 727-2663,Grades PK-12,Dr. Mischelle Simcox,Johnson County,7
470,Knox County,P O Box 2188 ST,,Knoxville,TN,37901,(865) 594-1620,(865) 594-1264,Grades PK-12,Bob Thomas,Knox County,91
480,Lake County,P. O. Box 397,,Tiptonville,TN,38079,(731) 253-6601,(731) 253-7111,Grades PK-12,Sherry Darnell,Lake County,3
490,Lauderdale County,P O Box 350 AVE,,Ripley,TN,38063,(731) 635-2941,(731) 635-7985,Grades PK-12,Shawn Kimble,Lauderdale County,7
