district_number,district_name,school_number,school_name,subgroup,grad_cohort,dropout_count,dropout_rate
0,State of Tennessee,0,All Schools,All Students,72481,4738,6.5
0,State of Tennessee,0,All Schools,American Indian or Alaska Native,269,18,6.7
0,State of Tennessee,0,All Schools,Asian,1652,40,2.4
0,State of Tennessee,0,All Schools,Black or African American,17552,1816,10.3
0,State of Tennessee,0,All Schools,Black/Hispanic/Native American,24523,2624,10.7
0,State of Tennessee,0,All Schools,Economically Disadvantaged,28997,3251,11.2
0,State of Tennessee,0,All Schools,English Learners,2686,569,21.2
0,State of Tennessee,0,All Schools,Female,34843,1700,4.9
0,State of Tennessee,0,All Schools,Hispanic,6702,790,11.8
0,State of Tennessee,0,All Schools,Male,37638,3038,8.1
0,State of Tennessee,0,All Schools,Migrant,180,12,6.7
0,State of Tennessee,0,All Schools,Native Hawaiian or Other Pacific Islander,129,5,3.9
0,State of Tennessee,0,All Schools,Non-Black/Hispanic/Native American,47958,2114,4.4
0,State of Tennessee,0,All Schools,Non-Economically Disadvantaged,43484,1487,3.4
0,State of Tennessee,0,All Schools,Non-English Learners,69795,4169,6
0,State of Tennessee,0,All Schools,Non-Students with Disabilities,62724,3642,5.8
0,State of Tennessee,0,All Schools,Students with Disabilities,9757,1096,11.2
0,State of Tennessee,0,All Schools,White,46177,2069,4.5
10,Anderson County,0,All Schools,All Students,552,14,2.5
10,Anderson County,0,All Schools,American Indian or Alaska Native,2,,
10,Anderson County,0,All Schools,Asian,8,,
10,Anderson County,0,All Schools,Black or African American,10,1,10
10,Anderson County,0,All Schools,Black/Hispanic/Native American,19,1,5.3
10,Anderson County,0,All Schools,Economically Disadvantaged,208,11,5.3
10,Anderson County,0,All Schools,English Learners,3,,
10,Anderson County,0,All Schools,Female,243,6,2.5
10,Anderson County,0,All Schools,Hispanic,7,,
10,Anderson County,0,All Schools,Male,309,8,2.6
10,Anderson County,0,All Schools,Non-Black/Hispanic/Native American,533,13,2.4
10,Anderson County,0,All Schools,Non-Economically Disadvantaged,344,3,0.9
10,Anderson County,0,All Schools,Non-English Learners,549,14,2.6
10,Anderson County,0,All Schools,Non-Students with Disabilities,465,12,2.6
10,Anderson County,0,All Schools,Students with Disabilities,87,2,2.3
10,Anderson County,0,All Schools,White,525,13,2.5
12,Oak Ridge,0,All Schools,All Students,304,20,6.6
12,Oak Ridge,0,All Schools,American Indian or Alaska Native,2,,
12,Oak Ridge,0,All Schools,Asian,17,1,5.9
12,Oak Ridge,0,All Schools,Black or African American,50,5,10
12,Oak Ridge,0,All Schools,Black/Hispanic/Native American,84,11,13.1
12,Oak Ridge,0,All Schools,Economically Disadvantaged,80,11,13.8
12,Oak Ridge,0,All Schools,English Learners,10,3,30
12,Oak Ridge,0,All Schools,Female,143,2,1.4
12,Oak Ridge,0,All Schools,Hispanic,32,6,18.8
12,Oak Ridge,0,All Schools,Male,161,18,11.2
12,Oak Ridge,0,All Schools,Native Hawaiian or Other Pacific Islander,1,,
12,Oak Ridge,0,All Schools,Non-Black/Hispanic/Native American,220,9,4.1
12,Oak Ridge,0,All Schools,Non-Economically Disadvantaged,224,9,4
12,Oak Ridge,0,All Schools,Non-English Learners,294,17,5.8
12,Oak Ridge,0,All Schools,Non-Students with Disabilities,267,18,6.7
12,Oak Ridge,0,All Schools,Students with Disabilities,37,2,5.4
12,Oak Ridge,0,All Schools,White,202,8,4
20,Bedford County,0,All Schools,All Students,632,43,6.8
20,Bedford County,0,All Schools,American Indian or Alaska Native,4,,
20,Bedford County,0,All Schools,Asian,4,,
20,Bedford County,0,All Schools,Black or African American,59,1,1.7
20,Bedford County,0,All Schools,Black/Hispanic/Native American,213,21,9.9
20,Bedford County,0,All Schools,Economically Disadvantaged,268,27,10.1
20,Bedford County,0,All Schools,English Learners,47,12,25.5
20,Bedford County,0,All Schools,Female,297,13,4.4
20,Bedford County,0,All Schools,Hispanic,150,20,13.3
20,Bedford County,0,All Schools,Male,335,30,9
20,Bedford County,0,All Schools,Migrant,2,,
20,Bedford County,0,All Schools,Non-Black/Hispanic/Native American,419,22,5.3
20,Bedford County,0,All Schools,Non-Economically Disadvantaged,364,16,4.4
20,Bedford County,0,All Schools,Non-English Learners,585,31,5.3
20,Bedford County,0,All Schools,Non-Students with Disabilities,551,38,6.9
20,Bedford County,0,All Schools,Students with Disabilities,81,5,6.2
20,Bedford County,0,All Schools,White,415,22,5.3
30,Benton County,0,All Schools,All Students,160,7,4.4
