district_number,district_name,school_number,school_name,year,grades_served,subgroup,value_previous,value
0,State of Tennessee,0,,2020,Grades PK-12,all_students,973659,1014502
0,State of Tennessee,0,,2020,Grades PK-12,bhn,35.2,36.4
0,State of Tennessee,0,,2020,Grades PK-12,ed,34.9,30.8
0,State of Tennessee,0,,2020,Grades PK-12,ell,4.6,5
0,State of Tennessee,0,,2020,Grades PK-12,ell_transonly,2.3,7.5
0,State of Tennessee,0,,2020,Grades PK-12,foster,0.4,0.4
0,State of Tennessee,0,,2020,Grades PK-12,gender_female,48.8,48.7
0,State of Tennessee,0,,2020,Grades PK-12,gender_male,51.2,51.3
0,State of Tennessee,0,,2020,Grades PK-12,homeless,1.4,1.2
0,State of Tennessee,0,,2020,Grades PK-12,migrant,0,0.1
0,State of Tennessee,0,,2020,Grades PK-12,military,1,0.9
0,State of Tennessee,0,,2020,Grades PK-12,race_a,2.4,2.4
0,State of Tennessee,0,,2020,Grades PK-12,race_b,24,24.2
0,State of Tennessee,0,,2020,Grades PK-12,race_h,10.9,11.8
0,State of Tennessee,0,,2020,Grades PK-12,race_i,0.4,0.4
0,State of Tennessee,0,,2020,Grades PK-12,race_pi,0.2,0.2
0,State of Tennessee,0,,2020,Grades PK-12,race_w,62.1,61
0,State of Tennessee,0,,2020,Grades PK-12,swd,13.5,13.6
10,Anderson County,0,,2020,Grades PK - 12,all_students,6201,6435
10,Anderson County,0,,2020,Grades PK - 12,bhn,5.5,6.3
10,Anderson County,0,,2020,Grades PK - 12,ed,36.6,35
10,Anderson County,0,,2020,Grades PK - 12,ell,0.3,0.6
10,Anderson County,0,,2020,Grades PK - 12,ell_transonly,0.2,0.8
10,Anderson County,0,,2020,Grades PK - 12,foster,1,0.7
10,Anderson County,0,,2020,Grades PK - 12,gender_female,48.2,48.5
10,Anderson County,0,,2020,Grades PK - 12,gender_male,51.8,51.5
10,Anderson County,0,,2020,Grades PK - 12,homeless,1,0.8
10,Anderson County,0,,2020,Grades PK - 12,migrant,0,0
