year,district_number,district_name,subgroup,graduation cohort,graduation count,graduation rate
2019,0,State of Tennessee,All Students,72481,65043,89.7
2019,0,State of Tennessee,American Indian or Alaska Native,269,239,88.8
2019,0,State of Tennessee,Asian,1652,1571,95.1
2019,0,State of Tennessee,Black or African American,17552,14658,83.5
2019,0,State of Tennessee,Black/Hispanic/Native American,24523,20531,83.7
2019,0,State of Tennessee,Economically Disadvantaged,28997,24025,82.9
2019,0,State of Tennessee,English Learners with Transitional 1-4,2686,1931,71.9
2019,0,State of Tennessee,Female,34843,32257,92.6
2019,0,State of Tennessee,Hispanic,6702,5634,84.1
2019,0,State of Tennessee,Homeless,2595,2011,77.5
2019,0,State of Tennessee,Male,37638,32786,87.1
2019,0,State of Tennessee,Migrant,180,162,90
2019,0,State of Tennessee,Native Hawaiian or Other Pacific Islander,129,120,93
2019,0,State of Tennessee,Non-Black/Hispanic/Native American,47958,44512,92.8
2019,0,State of Tennessee,Non-Economically Disadvantaged,43484,41018,94.3
2019,0,State of Tennessee,Non-English Learners/Transitional 1-4,69795,63112,90.4
2019,0,State of Tennessee,Non-Homeless,69886,63032,90.2
2019,0,State of Tennessee,Non-Migrant,72301,64881,89.7
2019,0,State of Tennessee,Non-Students with Disabilities,62724,57972,92.4
2019,0,State of Tennessee,Students with Disabilities,9757,7071,72.5
2019,0,State of Tennessee,White,46177,42821,92.7
2019,10,Anderson County,All Students,552,528,95.7
2019,10,Anderson County,American Indian or Alaska Native,2,*,*
2019,10,Anderson County,Asian,8,*,*
2019,10,Anderson County,Black or African American,10,8,80
2019,10,Anderson County,Black/Hispanic/Native American,19,17,89.5
2019,10,Anderson County,Economically Disadvantaged,208,190,91.3
2019,10,Anderson County,English Learners with Transitional 1-4,3,*,*
2019,10,Anderson County,Female,243,235,96.7
2019,10,Anderson County,Hispanic,7,*,*
2019,10,Anderson County,Homeless,18,14,77.8
2019,10,Anderson County,Male,309,293,94.8
2019,10,Anderson County,Non-Black/Hispanic/Native American,533,511,95.9
2019,10,Anderson County,Non-Economically Disadvantaged,344,338,98.3
2019,10,Anderson County,Non-English Learners/Transitional 1-4,549,525,95.6
2019,10,Anderson County,Non-Homeless,534,514,96.3
2019,10,Anderson County,Non-Migrant,552,528,95.7
2019,10,Anderson County,Non-Students with Disabilities,465,452,97.2
2019,10,Anderson County,Students with Disabilities,87,76,87.4
2019,10,Anderson County,White,525,503,95.8
2019,12,Oak Ridge,All Students,304,280,92.1
2019,12,Oak Ridge,American Indian or Alaska Native,2,*,*
2019,12,Oak Ridge,Asian,17,16,94.1
2019,12,Oak Ridge,Black or African American,50,45,90
2019,12,Oak Ridge,Black/Hispanic/Native American,84,73,86.9
2019,12,Oak Ridge,Economically Disadvantaged,80,67,83.8
2019,12,Oak Ridge,English Learners with Transitional 1-4,10,7,70
2019,12,Oak Ridge,Female,143,138,96.5
2019,12,Oak Ridge,Hispanic,32,26,81.3
2019,12,Oak Ridge,Homeless,8,*,*
2019,12,Oak Ridge,Male,161,142,88.2
2019,12,Oak Ridge,Native Hawaiian or Other Pacific Islander,1,*,*
2019,12,Oak Ridge,Non-Black/Hispanic/Native American,220,207,94.1
2019,12,Oak Ridge,Non-Economically Disadvantaged,224,213,95.1
2019,12,Oak Ridge,Non-English Learners/Transitional 1-4,294,273,92.9
2019,12,Oak Ridge,Non-Homeless,296,274,92.6
2019,12,Oak Ridge,Non-Migrant,304,280,92.1
2019,12,Oak Ridge,Non-Students with Disabilities,267,248,92.9
2019,12,Oak Ridge,Students with Disabilities,37,32,86.5
2019,12,Oak Ridge,White,202,190,94.1
2019,20,Bedford County,All Students,632,575,91
2019,20,Bedford County,American Indian or Alaska Native,4,*,*
2019,20,Bedford County,Asian,4,*,*
2019,20,Bedford County,Black or African American,59,54,91.5
2019,20,Bedford County,Black/Hispanic/Native American,213,187,87.8
2019,20,Bedford County,Economically Disadvantaged,268,236,88.1
2019,20,Bedford County,English Learners with Transitional 1-4,47,34,72.3
2019,20,Bedford County,Female,297,275,92.6
2019,20,Bedford County,Hispanic,150,129,86
2019,20,Bedford County,Homeless,22,17,77.3
2019,20,Bedford County,Male,335,300,89.6
2019,20,Bedford County,Migrant,2,*,*
2019,20,Bedford County,Non-Black/Hispanic/Native American,419,388,92.6
2019,20,Bedford County,Non-Economically Disadvantaged,364,339,93.1
2019,20,Bedford County,Non-English Learners/Transitional 1-4,585,541,92.5
2019,20,Bedford County,Non-Homeless,610,558,91.5
2019,20,Bedford County,Non-Migrant,630,573,91
2019,20,Bedford County,Non-Students with Disabilities,551,508,92.2
2019,20,Bedford County,Students with Disabilities,81,67,82.7
2019,20,Bedford County,White,415,384,92.5
2019,30,Benton County,All Students,160,152,95
2019,30,Benton County,Black or African American,8,*,*
2019,30,Benton County,Black/Hispanic/Native American,11,8,72.7
2019,30,Benton County,Economically Disadvantaged,83,77,92.8
2019,30,Benton County,Female,79,75,94.9
2019,30,Benton County,Hispanic,3,*,*
2019,30,Benton County,Homeless,6,*,*
2019,30,Benton County,Male,81,77,95.1
2019,30,Benton County,Non-Black/Hispanic/Native American,149,144,96.6
2019,30,Benton County,Non-Economically Disadvantaged,77,75,97.4
2019,30,Benton County,Non-English Learners/Transitional 1-4,160,152,95
2019,30,Benton County,Non-Homeless,154,146,94.8
2019,30,Benton County,Non-Migrant,160,152,95
2019,30,Benton County,Non-Students with Disabilities,128,122,95.3
2019,30,Benton County,Students with Disabilities,32,30,93.8
2019,30,Benton County,White,149,144,96.6
2019,40,Bledsoe County,All Students,121,112,92.6
2019,40,Bledsoe County,American Indian or Alaska Native,2,*,*
2019,40,Bledsoe County,Black or African American,4,*,*
2019,40,Bledsoe County,Black/Hispanic/Native American,11,10,90.9
2019,40,Bledsoe County,Economically Disadvantaged,56,49,87.5
2019,40,Bledsoe County,English Learners with Transitional 1-4,3,*,*
2019,40,Bledsoe County,Female,49,44,89.8
2019,40,Bledsoe County,Hispanic,5,*,*
2019,40,Bledsoe County,Homeless,5,*,*
2019,40,Bledsoe County,Male,72,68,94.4
2019,40,Bledsoe County,Migrant,1,*,*
2019,40,Bledsoe County,Native Hawaiian or Other Pacific Islander,1,*,*
2019,40,Bledsoe County,Non-Black/Hispanic/Native American,110,102,92.7
2019,40,Bledsoe County,Non-Economically Disadvantaged,65,63,96.9
2019,40,Bledsoe County,Non-English Learners/Transitional 1-4,118,109,92.4
2019,40,Bledsoe County,Non-Homeless,116,108,93.1
2019,40,Bledsoe County,Non-Migrant,120,111,92.5
2019,40,Bledsoe County,Non-Students with Disabilities,94,86,91.5
2019,40,Bledsoe County,Students with Disabilities,27,26,96.3
2019,40,Bledsoe County,White,109,102,93.6
2019,50,Blount County,All Students,794,739,93.1
