district_number,district_name,school_year,school_name,school_year,students_in_school_suspension,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent_iss,percent_suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
0,State of Tennessee,2020,,2020,46530,35299,933,5357,2814,1013395,4.6,3.5,0.1,0.5,0.3
10,Anderson County,2020,Anderson County High School,2020,34,29,0,0,6,1144,3,2.5,0,0,0.5
10,Anderson County,2020,Andersonville Elementary,2020,0,0,0,0,0,328,0,0,0,0,0
10,Anderson County,2020,Briceville Elementary,2020,3,2,0,0,0,117,2.6,1.7,0,0,0
10,Anderson County,2020,Claxton Elementary,2020,10,7,0,0,0,465,2.2,1.5,0,0,0
10,Anderson County,2020,Clinton Middle School,2020,93,76,0,0,1,687,13.5,11.1,0,0,0.1
10,Anderson County,2020,Clinton High School,2020,92,82,0,0,5,1195,7.7,6.9,0,0,0.4
10,Anderson County,2020,Dutch Valley Elementary,2020,0,0,0,0,0,122,0,0,0,0,0
10,Anderson County,2020,Fairview Elementary,2020,1,3,0,0,0,310,0.3,1,0,0,0
10,Anderson County,2020,Grand Oaks Elementary,2020,3,2,0,0,0,307,1,0.7,0,0,0
10,Anderson County,2020,Lake City Elementary,2020,21,6,0,0,0,455,4.6,1.3,0,0,0
10,Anderson County,2020,Lake City Middle School,2020,46,45,1,0,0,301,15.3,15,0.3,0,0
10,Anderson County,2020,Norris Elementary,2020,3,4,0,0,0,244,1.2,1.6,0,0,0
10,Anderson County,2020,Norris Middle School,2020,57,14,0,0,3,533,10.7,2.6,0,0,0.6
10,Anderson County,2020,Norwood Elementary,2020,17,7,0,0,0,268,6.3,2.6,0,0,0
10,Anderson County,2020,Norwood Middle School,2020,7,14,0,0,1,204,3.4,6.9,0,0,0.5
10,Anderson County,2020,,2020,386,290,1,0,16,6589,5.9,4.4,0,0,0.2
11,Clinton,2020,Clinton Elementary,2020,0,7,0,0,0,598,0,1.2,0,0,0
11,Clinton,2020,North Clinton Elementary,2020,1,1,0,0,0,191,0.5,0.5,0,0,0
11,Clinton,2020,South Clinton Elementary,2020,3,5,0,0,0,305,1,1.6,0,0,0
11,Clinton,2020,,2020,4,13,0,0,0,1085,0.4,1.2,0,0,0
12,Oak Ridge,2020,Glenwood Elementary,2020,0,3,0,0,0,440,0,0.7,0,0,0
12,Oak Ridge,2020,Jefferson Middle School,2020,115,62,0,0,0,748,15.4,8.3,0,0,0
12,Oak Ridge,2020,Linden Elementary,2020,0,5,0,0,0,488,0,1,0,0,0
12,Oak Ridge,2020,Oak Ridge High School,2020,213,133,0,17,14,1578,13.5,8.4,0,1.1,0.9
12,Oak Ridge,2020,Robertsville Middle School,2020,112,83,0,0,6,807,13.9,10.3,0,0,0.7
12,Oak Ridge,2020,Willow Brook Elementary,2020,0,9,0,0,0,395,0,2.3,0,0,0
12,Oak Ridge,2020,Woodland Elementary,2020,1,8,0,0,0,453,0.2,1.8,0,0,0
12,Oak Ridge,2020,,2020,441,302,0,17,20,4872,9.1,6.2,0,0.3,0.4
20,Bedford County,2020,Cascade Elementary,2020,12,1,0,0,0,657,1.8,0.2,0,0,0
20,Bedford County,2020,Cascade High School,2020,7,4,0,1,0,552,1.3,0.7,0,0.2,0
20,Bedford County,2020,Eakin Elementary,2020,36,1,0,0,0,664,5.4,0.2,0,0,0
20,Bedford County,2020,Cascade Middle School,2020,14,16,0,0,1,453,3.1,3.5,0,0,0.2
20,Bedford County,2020,Shelbyville Central High School,2020,117,56,0,4,6,1565,7.5,3.6,0,0.3,0.4
20,Bedford County,2020,Harris Middle School,2020,148,50,0,4,6,1158,12.8,4.3,0,0.3,0.5
20,Bedford County,2020,Community Elementary School,2020,3,0,0,0,0,677,0.4,0,0,0,0
20,Bedford County,2020,Community High School,2020,74,2,0,8,8,615,12,0.3,0,1.3,1.3
20,Bedford County,2020,Community Middle School,2020,40,6,0,0,0,458,8.7,1.3,0,0,0
20,Bedford County,2020,Learning Way Elementary,2020,23,3,0,0,0,614,3.7,0.5,0,0,0
20,Bedford County,2020,East Side Elementary,2020,4,0,0,0,0,470,0.9,0,0,0,0
