district_number,district,school_number,school_name,street_address_1,city,state,zipcode,phone1,phone2,countyname,year,principal,grades_served
10,Anderson County,2,Anderson County High School,130 Maverick CIR,Clinton,TN,37716,(865) 457-4716,,Anderson County,2020,Ben Downs,Grades 9-12
10,Anderson County,3,Anderson County Career  Technical Center,140 Maverick CIR,Clinton,TN,37716,(865) 457-4205,,Anderson County,2020,Robbie Herrell,Grades 9-12
10,Anderson County,5,Andersonville Elementary,1951  Mountain  RD,Andersonville,TN,37705,(865) 494-7695,,Anderson County,2020,Beth Roeder,Grades PK-5
10,Anderson County,10,Briceville Elementary,103 Slatestone RD,Briceville,TN,37710,(865) 426-2289,,Anderson County,2020,Travis Hutcheson,Grades PK-5
10,Anderson County,15,Claxton Elementary,2218  Clinton  HWY,Powell,TN,37849,(865) 945-2222,,Anderson County,2020,Jennifer Coleman,Grades PK-5
10,Anderson County,20,Clinton Middle School,110  N  Hicks ST,Clinton,TN,37716,(865) 457-3451,,Anderson County,2020,RaeAnn Owens,Grades PK-8
10,Anderson County,25,Clinton High School,425  Dragon  DR,Clinton,TN,37716,(865) 457-2611,,Anderson County,2020,Caleb Tipton,Grades 9-12
10,Anderson County,35,Dutch Valley Elementary,1044  Old  Dutch Valley RD,Clinton,TN,37716,(865) 457-2599,,Anderson County,2020,Stephanie Sherwood,Grades KG-5
10,Anderson County,40,Fairview Elementary,6715  Hickory  Valley RD,Heiskell,TN,37754,(865) 494-7959,,Anderson County,2020,Karen Cupples,Grades PK-5
10,Anderson County,46,Grand Oaks Elementary,1033  Oliver  Springs HWY,Clinton,TN,37716,(865) 435-7506,,Anderson County,2020,Jessica Conatser,Grades PK-5
10,Anderson County,50,Lake City Elementary,402  Lindsay  ST,Lake City,TN,37769,(865) 426-2108,,Anderson County,2020,Henry Baggett,Grades PK-5
10,Anderson County,55,Lake City Middle School,1132  S  Main ST,Lake City,TN,37769,(865) 426-2609,,Anderson County,2020,Kelvin McCollum,Grades 6-8
10,Anderson County,70,Norris Elementary,42 East Circle DR,Norris,TN,37828,(865) 494-7422,,Anderson County,2020,Renee Branham,Grades PK-5
10,Anderson County,75,Norris Middle School,5 Norris Square,Norris,TN,37828,(865) 494-7171,,Anderson County,2020,Jeff Harshbarger,Grades 6-8
10,Anderson County,80,Norwood Elementary,809 Tri- County BLVD,Oliver Springs,TN,37840,(865) 435-2519,,Anderson County,2020,Karri Hobby,Grades PK-5
10,Anderson County,85,Norwood Middle School,803 Tri- County BLVD,Oliver Springs,TN,37840,(865) 435-7749,,Anderson County,2020,Dan Jenkins,Grades 6-8
